=> Trial Start: ['dir_sim', 'recency', 'betweenness']
=> Epoch 058 | Train: 0.7681 (Easy: 0.4473, Hard: 1.0840) | Val: 0.6806 (Easy: 0.3935, Hard: 1.0416) | LR: 0.001000
=> Epoch 059 | Train: 0.7685 (Easy: 0.4454, Hard: 1.0902) | Val: 0.6829 (Easy: 0.3845, Hard: 1.0556) | LR: 0.001000
=> Epoch 060 | Train: 0.7722 (Easy: 0.4590, Hard: 1.0868) | Val: 0.6783 (Easy: 0.3933, Hard: 1.0399) | LR: 0.001000
=> Epoch 061 | Train: 0.7732 (Easy: 0.4594, Hard: 1.0833) | Val: 0.6804 (Easy: 0.3927, Hard: 1.0428) | LR: 0.001000
=> Epoch 062 | Train: 0.7705 (Easy: 0.4544, Hard: 1.0804) | Val: 0.6781 (Easy: 0.3903, Hard: 1.0411) | LR: 0.001000
=> Epoch 063 | Train: 0.7685 (Easy: 0.4544, Hard: 1.0831) | Val: 0.6739 (Easy: 0.3957, Hard: 1.0226) | LR: 0.001000
=> Epoch 064 | Train: 0.7767 (Easy: 0.4570, Hard: 1.0980) | Val: 0.6680 (Easy: 0.3777, Hard: 1.0311) | LR: 0.001000
=> Epoch 065 | Train: 0.7739 (Easy: 0.4460, Hard: 1.1031) | Val: 0.6666 (Easy: 0.3836, Hard: 1.0199) | LR: 0.001000
=> Epoch 066 | Train: 0.7568 (Easy: 0.4355, Hard: 1.0740) | Val: 0.6684 (Easy: 0.3877, Hard: 1.0187) | LR: 0.001000
=> Epoch 067 | Train: 0.7651 (Easy: 0.4485, Hard: 1.0763) | Val: 0.6686 (Easy: 0.3904, Hard: 1.0177) | LR: 0.001000
=> Epoch 068 | Train: 0.7621 (Easy: 0.4476, Hard: 1.0776) | Val: 0.6650 (Easy: 0.3818, Hard: 1.0214) | LR: 0.001000
=> Epoch 069 | Train: 0.7610 (Easy: 0.4454, Hard: 1.0763) | Val: 0.6717 (Easy: 0.3780, Hard: 1.0422) | LR: 0.001000
=> Epoch 070 | Train: 0.7547 (Easy: 0.4469, Hard: 1.0636) | Val: 0.6676 (Easy: 0.3891, Hard: 1.0187) | LR: 0.001000
=> Epoch 071 | Train: 0.7708 (Easy: 0.4474, Hard: 1.0916) | Val: 0.6693 (Easy: 0.3797, Hard: 1.0330) | LR: 0.001000
=> Epoch 072 | Train: 0.7590 (Easy: 0.4429, Hard: 1.0706) | Val: 0.6618 (Easy: 0.3814, Hard: 1.0135) | LR: 0.001000
=> Epoch 073 | Train: 0.7613 (Easy: 0.4484, Hard: 1.0702) | Val: 0.6586 (Easy: 0.3865, Hard: 1.0007) | LR: 0.001000
=> Epoch 074 | Train: 0.7479 (Easy: 0.4478, Hard: 1.0514) | Val: 0.6634 (Easy: 0.3776, Hard: 1.0237) | LR: 0.001000
=> Epoch 075 | Train: 0.7538 (Easy: 0.4532, Hard: 1.0456) | Val: 0.6656 (Easy: 0.3876, Hard: 1.0157) | LR: 0.001000
=> Epoch 076 | Train: 0.7608 (Easy: 0.4459, Hard: 1.0669) | Val: 0.6657 (Easy: 0.3717, Hard: 1.0367) | LR: 0.001000
