=> Trial Start: ['dir_sim', 'recency', 'has_target']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target']
=> Epoch 087 | Train: 0.7683 (Easy: 0.4822, Hard: 1.0363) | Val: 0.6709 (Easy: 0.4125, Hard: 0.9463) | LR: 0.000500
=> Epoch 088 | Train: 0.7618 (Easy: 0.4736, Hard: 1.0366) | Val: 0.6793 (Easy: 0.4166, Hard: 0.9593) | LR: 0.000500
=> Epoch 089 | Train: 0.7556 (Easy: 0.4798, Hard: 1.0228) | Val: 0.6671 (Easy: 0.4146, Hard: 0.9356) | LR: 0.000500
=> Epoch 090 | Train: 0.7626 (Easy: 0.4803, Hard: 1.0386) | Val: 0.6706 (Easy: 0.4169, Hard: 0.9404) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 091 | Train: 0.7606 (Easy: 0.4706, Hard: 1.0486) | Val: 0.6588 (Easy: 0.4185, Hard: 0.9153) | LR: 0.000250
=> Epoch 092 | Train: 0.7467 (Easy: 0.4767, Hard: 1.0065) | Val: 0.6610 (Easy: 0.4147, Hard: 0.9225) | LR: 0.000250
=> Epoch 093 | Train: 0.7505 (Easy: 0.4724, Hard: 1.0110) | Val: 0.6608 (Easy: 0.4172, Hard: 0.9157) | LR: 0.000250
=> Epoch 094 | Train: 0.7530 (Easy: 0.4857, Hard: 1.0083) | Val: 0.6622 (Easy: 0.4158, Hard: 0.9192) | LR: 0.000250
=> Epoch 095 | Train: 0.7524 (Easy: 0.4816, Hard: 1.0124) | Val: 0.6633 (Easy: 0.4184, Hard: 0.9214) | LR: 0.000250
=> Epoch 096 | Train: 0.7496 (Easy: 0.4772, Hard: 1.0133) | Val: 0.6613 (Easy: 0.4164, Hard: 0.9188) | LR: 0.000250
=> Epoch 097 | Train: 0.7440 (Easy: 0.4821, Hard: 0.9987) | Val: 0.6648 (Easy: 0.4192, Hard: 0.9269) | LR: 0.000250
=> Epoch 098 | Train: 0.7444 (Easy: 0.4732, Hard: 1.0058) | Val: 0.6612 (Easy: 0.4140, Hard: 0.9242) | LR: 0.000250
=> Epoch 099 | Train: 0.7380 (Easy: 0.4744, Hard: 0.9824) | Val: 0.6567 (Easy: 0.4141, Hard: 0.9119) | LR: 0.000250
=> Epoch 100 | Train: 0.7398 (Easy: 0.4751, Hard: 0.9939) | Val: 0.6617 (Easy: 0.4157, Hard: 0.9217) | LR: 0.000250
=> Epoch 101 | Train: 0.7458 (Easy: 0.4759, Hard: 1.0111) | Val: 0.6565 (Easy: 0.4159, Hard: 0.9097) | LR: 0.000250
=> Epoch 102 | Train: 0.7566 (Easy: 0.4774, Hard: 1.0219) | Val: 0.6628 (Easy: 0.4160, Hard: 0.9212) | LR: 0.000250
=> Epoch 103 | Train: 0.7380 (Easy: 0.4622, Hard: 0.9997) | Val: 0.6686 (Easy: 0.4197, Hard: 0.9318) | LR: 0.000250
=> Epoch 104 | Train: 0.7439 (Easy: 0.4705, Hard: 1.0051) | Val: 0.6596 (Easy: 0.4189, Hard: 0.9135) | LR: 0.000250
=> Epoch 105 | Train: 0.7352 (Easy: 0.4585, Hard: 0.9977) | Val: 0.6627 (Easy: 0.4175, Hard: 0.9241) | LR: 0.000250
=> Epoch 106 | Train: 0.7514 (Easy: 0.4803, Hard: 1.0152) | Val: 0.6594 (Easy: 0.4177, Hard: 0.9175) | LR: 0.000250
=> Epoch 107 | Train: 0.7441 (Easy: 0.4812, Hard: 0.9947) | Val: 0.6611 (Easy: 0.4215, Hard: 0.9194) | LR: 0.000250
=> Epoch 108 | Train: 0.7542 (Easy: 0.4741, Hard: 1.0223) | Val: 0.6570 (Easy: 0.4184, Hard: 0.9143) | LR: 0.000250
=> Epoch 109 | Train: 0.7448 (Easy: 0.4787, Hard: 1.0021) | Val: 0.6607 (Easy: 0.4166, Hard: 0.9177) | LR: 0.000250
=> LR reduced: 0.000250 -> 0.000125
=> Epoch 110 | Train: 0.7434 (Easy: 0.4764, Hard: 0.9998) | Val: 0.6615 (Easy: 0.4195, Hard: 0.9197) | LR: 0.000125
=> Epoch 111 | Train: 0.7435 (Easy: 0.4595, Hard: 1.0136) | Val: 0.6598 (Easy: 0.4192, Hard: 0.9170) | LR: 0.000125
=> Epoch 112 | Train: 0.7434 (Easy: 0.4784, Hard: 0.9918) | Val: 0.6570 (Easy: 0.4194, Hard: 0.9103) | LR: 0.000125
=> Epoch 113 | Train: 0.7335 (Easy: 0.4712, Hard: 0.9821) | Val: 0.6597 (Easy: 0.4176, Hard: 0.9172) | LR: 0.000125
=> Epoch 114 | Train: 0.7428 (Easy: 0.4686, Hard: 1.0030) | Val: 0.6548 (Easy: 0.4164, Hard: 0.9076) | LR: 0.000125
=> Epoch 115 | Train: 0.7319 (Easy: 0.4658, Hard: 0.9854) | Val: 0.6538 (Easy: 0.4169, Hard: 0.9047) | LR: 0.000125
=> Epoch 116 | Train: 0.7267 (Easy: 0.4761, Hard: 0.9711) | Val: 0.6555 (Easy: 0.4158, Hard: 0.9105) | LR: 0.000125
=> Epoch 117 | Train: 0.7317 (Easy: 0.4725, Hard: 0.9793) | Val: 0.6542 (Easy: 0.4162, Hard: 0.9083) | LR: 0.000125
=> Epoch 118 | Train: 0.7403 (Easy: 0.4650, Hard: 0.9953) | Val: 0.6552 (Easy: 0.4161, Hard: 0.9101) | LR: 0.000125
=> Epoch 119 | Train: 0.7339 (Easy: 0.4810, Hard: 0.9696) | Val: 0.6571 (Easy: 0.4165, Hard: 0.9143) | LR: 0.000125
=> Epoch 120 | Train: 0.7352 (Easy: 0.4730, Hard: 0.9834) | Val: 0.6565 (Easy: 0.4172, Hard: 0.9111) | LR: 0.000125
=> Epoch 121 | Train: 0.7355 (Easy: 0.4660, Hard: 0.9933) | Val: 0.6534 (Easy: 0.4186, Hard: 0.9036) | LR: 0.000125
=> Epoch 122 | Train: 0.7302 (Easy: 0.4592, Hard: 0.9888) | Val: 0.6551 (Easy: 0.4172, Hard: 0.9090) | LR: 0.000125
=> Epoch 123 | Train: 0.7425 (Easy: 0.4712, Hard: 1.0010) | Val: 0.6551 (Easy: 0.4182, Hard: 0.9070) | LR: 0.000125
=> Epoch 124 | Train: 0.7253 (Easy: 0.4667, Hard: 0.9712) | Val: 0.6550 (Easy: 0.4164, Hard: 0.9091) | LR: 0.000125
=> Epoch 125 | Train: 0.7298 (Easy: 0.4581, Hard: 0.9898) | Val: 0.6545 (Easy: 0.4157, Hard: 0.9078) | LR: 0.000125
=> LR reduced: 0.000125 -> 0.000063
=> Epoch 126 | Train: 0.7320 (Easy: 0.4624, Hard: 0.9938) | Val: 0.6526 (Easy: 0.4162, Hard: 0.9030) | LR: 0.000063
=> Epoch 127 | Train: 0.7294 (Easy: 0.4630, Hard: 0.9796) | Val: 0.6518 (Easy: 0.4164, Hard: 0.9017) | LR: 0.000063
=> Epoch 128 | Train: 0.7280 (Easy: 0.4751, Hard: 0.9735) | Val: 0.6518 (Easy: 0.4165, Hard: 0.9020) | LR: 0.000063
=> Epoch 129 | Train: 0.7320 (Easy: 0.4655, Hard: 0.9906) | Val: 0.6542 (Easy: 0.4179, Hard: 0.9054) | LR: 0.000063
=> Epoch 130 | Train: 0.7204 (Easy: 0.4726, Hard: 0.9589) | Val: 0.6522 (Easy: 0.4172, Hard: 0.9015) | LR: 0.000063
=> Epoch 131 | Train: 0.7280 (Easy: 0.4607, Hard: 0.9863) | Val: 0.6515 (Easy: 0.4164, Hard: 0.9013) | LR: 0.000063
=> Epoch 132 | Train: 0.7414 (Easy: 0.4778, Hard: 0.9935) | Val: 0.6539 (Easy: 0.4190, Hard: 0.9049) | LR: 0.000063
=> Epoch 133 | Train: 0.7259 (Easy: 0.4640, Hard: 0.9757) | Val: 0.6544 (Easy: 0.4182, Hard: 0.9058) | LR: 0.000063
=> Epoch 134 | Train: 0.7209 (Easy: 0.4581, Hard: 0.9729) | Val: 0.6529 (Easy: 0.4162, Hard: 0.9038) | LR: 0.000063
=> Epoch 135 | Train: 0.7346 (Easy: 0.4673, Hard: 0.9811) | Val: 0.6525 (Easy: 0.4155, Hard: 0.9038) | LR: 0.000063
=> Epoch 136 | Train: 0.7269 (Easy: 0.4670, Hard: 0.9743) | Val: 0.6509 (Easy: 0.4164, Hard: 0.8996) | LR: 0.000063
=> Epoch 137 | Train: 0.7304 (Easy: 0.4618, Hard: 0.9889) | Val: 0.6527 (Easy: 0.4181, Hard: 0.9014) | LR: 0.000063
=> Epoch 138 | Train: 0.7293 (Easy: 0.4606, Hard: 0.9817) | Val: 0.6537 (Easy: 0.4184, Hard: 0.9027) | LR: 0.000063
=> Epoch 139 | Train: 0.7274 (Easy: 0.4600, Hard: 0.9856) | Val: 0.6541 (Easy: 0.4188, Hard: 0.9034) | LR: 0.000063
=> Epoch 140 | Train: 0.7351 (Easy: 0.4543, Hard: 1.0020) | Val: 0.6543 (Easy: 0.4176, Hard: 0.9057) | LR: 0.000063
=> Epoch 141 | Train: 0.7409 (Easy: 0.4782, Hard: 0.9897) | Val: 0.6548 (Easy: 0.4170, Hard: 0.9059) | LR: 0.000063
=> Epoch 142 | Train: 0.7384 (Easy: 0.4618, Hard: 0.9992) | Val: 0.6548 (Easy: 0.4186, Hard: 0.9047) | LR: 0.000063
=> Epoch 143 | Train: 0.7292 (Easy: 0.4682, Hard: 0.9766) | Val: 0.6551 (Easy: 0.4180, Hard: 0.9067) | LR: 0.000063
=> Epoch 144 | Train: 0.7229 (Easy: 0.4609, Hard: 0.9710) | Val: 0.6563 (Easy: 0.4185, Hard: 0.9099) | LR: 0.000063
=> Epoch 145 | Train: 0.7299 (Easy: 0.4683, Hard: 0.9815) | Val: 0.6557 (Easy: 0.4175, Hard: 0.9088) | LR: 0.000063
=> Epoch 146 | Train: 0.7362 (Easy: 0.4710, Hard: 0.9875) | Val: 0.6553 (Easy: 0.4171, Hard: 0.9080) | LR: 0.000063
=> LR reduced: 0.000063 -> 0.000031
=> Epoch 147 | Train: 0.7276 (Easy: 0.4627, Hard: 0.9890) | Val: 0.6553 (Easy: 0.4174, Hard: 0.9080) | LR: 0.000031
=> Epoch 148 | Train: 0.7305 (Easy: 0.4664, Hard: 0.9801) | Val: 0.6553 (Easy: 0.4170, Hard: 0.9081) | LR: 0.000031
=> Epoch 149 | Train: 0.7321 (Easy: 0.4716, Hard: 0.9812) | Val: 0.6554 (Easy: 0.4178, Hard: 0.9072) | LR: 0.000031
=> Epoch 150 | Train: 0.7441 (Easy: 0.4811, Hard: 0.9939) | Val: 0.6551 (Easy: 0.4173, Hard: 0.9065) | LR: 0.000031
=> Epoch 151 | Train: 0.7335 (Easy: 0.4794, Hard: 0.9798) | Val: 0.6562 (Easy: 0.4176, Hard: 0.9091) | LR: 0.000031
=> Early stopping triggered
=> Final Test Accuracy: 0.7618 | Easy: 0.8221 | Hard: 0.6667

=> Split: 1 | Features: ['dir_sim', 'recency', 'has_target']
=> Epoch 000 | Train: 1.4135 (Easy: 1.0927, Hard: 1.7247) | Val: 0.9791 (Easy: 0.6349, Hard: 1.4012) | LR: 0.001000
=> Epoch 001 | Train: 1.1358 (Easy: 0.6692, Hard: 1.5806) | Val: 0.8874 (Easy: 0.5307, Hard: 1.3131) | LR: 0.001000
=> Epoch 002 | Train: 1.0682 (Easy: 0.6216, Hard: 1.4852) | Val: 0.8516 (Easy: 0.5030, Hard: 1.2664) | LR: 0.001000
=> Epoch 003 | Train: 1.0292 (Easy: 0.6033, Hard: 1.4314) | Val: 0.8313 (Easy: 0.4883, Hard: 1.2397) | LR: 0.001000
=> Epoch 004 | Train: 1.0123 (Easy: 0.5915, Hard: 1.4124) | Val: 0.8205 (Easy: 0.4833, Hard: 1.2238) | LR: 0.001000
=> Epoch 005 | Train: 0.9891 (Easy: 0.5766, Hard: 1.3820) | Val: 0.8103 (Easy: 0.4735, Hard: 1.2136) | LR: 0.001000
=> Epoch 006 | Train: 0.9744 (Easy: 0.5585, Hard: 1.3701) | Val: 0.8032 (Easy: 0.4668, Hard: 1.2063) | LR: 0.001000
=> Epoch 007 | Train: 0.9594 (Easy: 0.5508, Hard: 1.3525) | Val: 0.7984 (Easy: 0.4634, Hard: 1.2016) | LR: 0.001000
=> Epoch 008 | Train: 0.9479 (Easy: 0.5531, Hard: 1.3250) | Val: 0.7903 (Easy: 0.4580, Hard: 1.1905) | LR: 0.001000
=> Epoch 009 | Train: 0.9444 (Easy: 0.5487, Hard: 1.3183) | Val: 0.7863 (Easy: 0.4532, Hard: 1.1855) | LR: 0.001000
=> Epoch 010 | Train: 0.9330 (Easy: 0.5359, Hard: 1.3151) | Val: 0.7809 (Easy: 0.4505, Hard: 1.1778) | LR: 0.001000
=> Epoch 011 | Train: 0.9348 (Easy: 0.5423, Hard: 1.3073) | Val: 0.7738 (Easy: 0.4471, Hard: 1.1671) | LR: 0.001000
=> Epoch 012 | Train: 0.9237 (Easy: 0.5284, Hard: 1.3017) | Val: 0.7721 (Easy: 0.4376, Hard: 1.1757) | LR: 0.001000
=> Epoch 013 | Train: 0.9301 (Easy: 0.5333, Hard: 1.3082) | Val: 0.7694 (Easy: 0.4379, Hard: 1.1698) | LR: 0.001000
=> Epoch 014 | Train: 0.9095 (Easy: 0.5247, Hard: 1.2793) | Val: 0.7621 (Easy: 0.4362, Hard: 1.1586) | LR: 0.001000
