=> Trial Start: ['dir_sim', 'recency', 'is_outside']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_outside']
=> Epoch 102 | Train: 0.7595 (Easy: 0.4495, Hard: 1.0645) | Val: 0.6999 (Easy: 0.4336, Hard: 0.9728) | LR: 0.000250
=> Epoch 103 | Train: 0.7465 (Easy: 0.4503, Hard: 1.0400) | Val: 0.6994 (Easy: 0.4365, Hard: 0.9687) | LR: 0.000250
=> Epoch 104 | Train: 0.7561 (Easy: 0.4540, Hard: 1.0540) | Val: 0.6995 (Easy: 0.4353, Hard: 0.9683) | LR: 0.000250
=> Epoch 105 | Train: 0.7496 (Easy: 0.4547, Hard: 1.0373) | Val: 0.6995 (Easy: 0.4348, Hard: 0.9688) | LR: 0.000250
=> Epoch 106 | Train: 0.7561 (Easy: 0.4544, Hard: 1.0537) | Val: 0.6991 (Easy: 0.4330, Hard: 0.9696) | LR: 0.000250
=> Epoch 107 | Train: 0.7544 (Easy: 0.4459, Hard: 1.0608) | Val: 0.7003 (Easy: 0.4348, Hard: 0.9709) | LR: 0.000250
=> Epoch 108 | Train: 0.7446 (Easy: 0.4392, Hard: 1.0425) | Val: 0.6990 (Easy: 0.4332, Hard: 0.9683) | LR: 0.000250
=> Epoch 109 | Train: 0.7543 (Easy: 0.4542, Hard: 1.0552) | Val: 0.6969 (Easy: 0.4345, Hard: 0.9639) | LR: 0.000250
=> Epoch 110 | Train: 0.7589 (Easy: 0.4496, Hard: 1.0523) | Val: 0.6985 (Easy: 0.4335, Hard: 0.9683) | LR: 0.000250
=> Epoch 111 | Train: 0.7518 (Easy: 0.4492, Hard: 1.0467) | Val: 0.6979 (Easy: 0.4345, Hard: 0.9659) | LR: 0.000250
=> Epoch 112 | Train: 0.7600 (Easy: 0.4567, Hard: 1.0567) | Val: 0.6983 (Easy: 0.4344, Hard: 0.9662) | LR: 0.000250
=> Epoch 113 | Train: 0.7527 (Easy: 0.4485, Hard: 1.0517) | Val: 0.6966 (Easy: 0.4312, Hard: 0.9662) | LR: 0.000250
=> Epoch 114 | Train: 0.7489 (Easy: 0.4407, Hard: 1.0523) | Val: 0.6967 (Easy: 0.4345, Hard: 0.9633) | LR: 0.000250
