=> Trial Start: ['dir_sim', 'recency', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_hallway']
=> Epoch 123 | Train: 0.7593 (Easy: 0.4475, Hard: 1.0685) | Val: 0.6756 (Easy: 0.4380, Hard: 0.9210) | LR: 0.000500
=> Epoch 124 | Train: 0.7516 (Easy: 0.4442, Hard: 1.0474) | Val: 0.6719 (Easy: 0.4340, Hard: 0.9210) | LR: 0.000500
=> Epoch 125 | Train: 0.7575 (Easy: 0.4382, Hard: 1.0738) | Val: 0.6718 (Easy: 0.4287, Hard: 0.9233) | LR: 0.000500
=> Epoch 126 | Train: 0.7564 (Easy: 0.4397, Hard: 1.0652) | Val: 0.6734 (Easy: 0.4306, Hard: 0.9218) | LR: 0.000500
=> Epoch 127 | Train: 0.7583 (Easy: 0.4402, Hard: 1.0712) | Val: 0.6725 (Easy: 0.4303, Hard: 0.9180) | LR: 0.000500
=> Epoch 128 | Train: 0.7469 (Easy: 0.4419, Hard: 1.0410) | Val: 0.6756 (Easy: 0.4309, Hard: 0.9246) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 129 | Train: 0.7506 (Easy: 0.4353, Hard: 1.0534) | Val: 0.6752 (Easy: 0.4356, Hard: 0.9219) | LR: 0.000250
=> Epoch 130 | Train: 0.7494 (Easy: 0.4333, Hard: 1.0532) | Val: 0.6746 (Easy: 0.4375, Hard: 0.9222) | LR: 0.000250
=> Epoch 131 | Train: 0.7526 (Easy: 0.4375, Hard: 1.0543) | Val: 0.6759 (Easy: 0.4393, Hard: 0.9231) | LR: 0.000250
=> Epoch 132 | Train: 0.7433 (Easy: 0.4270, Hard: 1.0499) | Val: 0.6735 (Easy: 0.4368, Hard: 0.9205) | LR: 0.000250
=> Epoch 133 | Train: 0.7450 (Easy: 0.4305, Hard: 1.0501) | Val: 0.6719 (Easy: 0.4352, Hard: 0.9168) | LR: 0.000250
=> Early stopping triggered
=> Final Test Accuracy: 0.7059 | Easy: 0.8173 | Hard: 0.5303

=> Split: 1 | Features: ['dir_sim', 'recency', 'is_hallway']
=> Epoch 000 | Train: 1.3003 (Easy: 0.9091, Hard: 1.6804) | Val: 0.9589 (Easy: 0.5962, Hard: 1.4111) | LR: 0.001000
=> Epoch 001 | Train: 1.0972 (Easy: 0.6009, Hard: 1.5910) | Val: 0.9004 (Easy: 0.5393, Hard: 1.3474) | LR: 0.001000
=> Epoch 002 | Train: 1.0528 (Easy: 0.5725, Hard: 1.5275) | Val: 0.8796 (Easy: 0.5138, Hard: 1.3359) | LR: 0.001000
=> Epoch 003 | Train: 1.0297 (Easy: 0.5589, Hard: 1.5052) | Val: 0.8629 (Easy: 0.4960, Hard: 1.3228) | LR: 0.001000
