=> Trial Start: ['dir_sim', 'recency', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'exit_dist']
=> Epoch 137 | Train: 0.7226 (Easy: 0.4409, Hard: 1.0014) | Val: 0.6496 (Easy: 0.4080, Hard: 0.9188) | LR: 0.000125
=> Epoch 138 | Train: 0.7335 (Easy: 0.4391, Hard: 1.0262) | Val: 0.6501 (Easy: 0.4062, Hard: 0.9215) | LR: 0.000125
=> Epoch 139 | Train: 0.7373 (Easy: 0.4325, Hard: 1.0418) | Val: 0.6507 (Easy: 0.4065, Hard: 0.9214) | LR: 0.000125
=> Epoch 140 | Train: 0.7357 (Easy: 0.4316, Hard: 1.0360) | Val: 0.6501 (Easy: 0.4068, Hard: 0.9201) | LR: 0.000125
=> Epoch 141 | Train: 0.7311 (Easy: 0.4354, Hard: 1.0269) | Val: 0.6490 (Easy: 0.4056, Hard: 0.9194) | LR: 0.000125
=> Epoch 142 | Train: 0.7278 (Easy: 0.4261, Hard: 1.0219) | Val: 0.6517 (Easy: 0.4083, Hard: 0.9217) | LR: 0.000125
=> Epoch 143 | Train: 0.7232 (Easy: 0.4301, Hard: 1.0126) | Val: 0.6521 (Easy: 0.4087, Hard: 0.9223) | LR: 0.000125
=> Epoch 144 | Train: 0.7462 (Easy: 0.4378, Hard: 1.0585) | Val: 0.6501 (Easy: 0.4053, Hard: 0.9235) | LR: 0.000125
=> Epoch 145 | Train: 0.7369 (Easy: 0.4320, Hard: 1.0401) | Val: 0.6490 (Easy: 0.4068, Hard: 0.9194) | LR: 0.000125
=> LR reduced: 0.000125 -> 0.000063
=> Epoch 146 | Train: 0.7337 (Easy: 0.4340, Hard: 1.0283) | Val: 0.6486 (Easy: 0.4070, Hard: 0.9185) | LR: 0.000063
=> Epoch 147 | Train: 0.7320 (Easy: 0.4397, Hard: 1.0192) | Val: 0.6481 (Easy: 0.4055, Hard: 0.9189) | LR: 0.000063
=> Epoch 148 | Train: 0.7278 (Easy: 0.4325, Hard: 1.0185) | Val: 0.6488 (Easy: 0.4077, Hard: 0.9181) | LR: 0.000063
=> Epoch 149 | Train: 0.7171 (Easy: 0.4247, Hard: 1.0151) | Val: 0.6486 (Easy: 0.4058, Hard: 0.9192) | LR: 0.000063
=> Epoch 150 | Train: 0.7318 (Easy: 0.4254, Hard: 1.0341) | Val: 0.6477 (Easy: 0.4062, Hard: 0.9175) | LR: 0.000063
=> Epoch 151 | Train: 0.7333 (Easy: 0.4335, Hard: 1.0288) | Val: 0.6474 (Easy: 0.4059, Hard: 0.9162) | LR: 0.000063
=> Epoch 152 | Train: 0.7422 (Easy: 0.4371, Hard: 1.0448) | Val: 0.6483 (Easy: 0.4071, Hard: 0.9170) | LR: 0.000063
=> Epoch 153 | Train: 0.7355 (Easy: 0.4239, Hard: 1.0453) | Val: 0.6482 (Easy: 0.4068, Hard: 0.9170) | LR: 0.000063
=> Epoch 154 | Train: 0.7276 (Easy: 0.4299, Hard: 1.0263) | Val: 0.6462 (Easy: 0.4063, Hard: 0.9137) | LR: 0.000063
=> Epoch 155 | Train: 0.7175 (Easy: 0.4254, Hard: 1.0011) | Val: 0.6470 (Easy: 0.4059, Hard: 0.9157) | LR: 0.000063
