=> Trial Start: ['dir_sim', 'recency', 'is_entrance']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_entrance']
=> Epoch 015 | Train: 0.8507 (Easy: 0.4798, Hard: 1.2055) | Val: 0.7076 (Easy: 0.4094, Hard: 1.0901) | LR: 0.001000
=> Epoch 016 | Train: 0.8424 (Easy: 0.4762, Hard: 1.2080) | Val: 0.7014 (Easy: 0.4073, Hard: 1.0793) | LR: 0.001000
=> Epoch 017 | Train: 0.8466 (Easy: 0.4706, Hard: 1.2159) | Val: 0.7093 (Easy: 0.4047, Hard: 1.1035) | LR: 0.001000
=> Epoch 018 | Train: 0.8299 (Easy: 0.4683, Hard: 1.1841) | Val: 0.7004 (Easy: 0.4062, Hard: 1.0818) | LR: 0.001000
=> Epoch 019 | Train: 0.8399 (Easy: 0.4730, Hard: 1.2064) | Val: 0.6984 (Easy: 0.4065, Hard: 1.0760) | LR: 0.001000
=> Epoch 020 | Train: 0.8283 (Easy: 0.4681, Hard: 1.1810) | Val: 0.7079 (Easy: 0.4106, Hard: 1.0934) | LR: 0.001000
=> Epoch 021 | Train: 0.8349 (Easy: 0.4769, Hard: 1.1920) | Val: 0.6945 (Easy: 0.4077, Hard: 1.0664) | LR: 0.001000
=> Epoch 022 | Train: 0.8322 (Easy: 0.4759, Hard: 1.1801) | Val: 0.6953 (Easy: 0.4046, Hard: 1.0710) | LR: 0.001000
=> Epoch 023 | Train: 0.8268 (Easy: 0.4728, Hard: 1.1802) | Val: 0.6946 (Easy: 0.4009, Hard: 1.0758) | LR: 0.001000
=> Epoch 024 | Train: 0.8145 (Easy: 0.4652, Hard: 1.1595) | Val: 0.6957 (Easy: 0.4036, Hard: 1.0745) | LR: 0.001000
=> Epoch 025 | Train: 0.8194 (Easy: 0.4645, Hard: 1.1738) | Val: 0.6780 (Easy: 0.3985, Hard: 1.0383) | LR: 0.001000
=> Epoch 026 | Train: 0.8306 (Easy: 0.4713, Hard: 1.1804) | Val: 0.6795 (Easy: 0.4018, Hard: 1.0366) | LR: 0.001000
=> Epoch 027 | Train: 0.8105 (Easy: 0.4653, Hard: 1.1600) | Val: 0.6882 (Easy: 0.3972, Hard: 1.0672) | LR: 0.001000
=> Epoch 028 | Train: 0.8096 (Easy: 0.4611, Hard: 1.1607) | Val: 0.6722 (Easy: 0.3947, Hard: 1.0273) | LR: 0.001000
=> Epoch 029 | Train: 0.8079 (Easy: 0.4623, Hard: 1.1478) | Val: 0.6764 (Easy: 0.3957, Hard: 1.0377) | LR: 0.001000
=> Epoch 030 | Train: 0.8065 (Easy: 0.4685, Hard: 1.1470) | Val: 0.6758 (Easy: 0.3977, Hard: 1.0338) | LR: 0.001000
=> Epoch 031 | Train: 0.7991 (Easy: 0.4659, Hard: 1.1250) | Val: 0.6704 (Easy: 0.3949, Hard: 1.0251) | LR: 0.001000
=> Epoch 032 | Train: 0.8013 (Easy: 0.4712, Hard: 1.1335) | Val: 0.6727 (Easy: 0.3928, Hard: 1.0365) | LR: 0.001000
=> Epoch 033 | Train: 0.8015 (Easy: 0.4582, Hard: 1.1457) | Val: 0.6645 (Easy: 0.3945, Hard: 1.0126) | LR: 0.001000
=> Epoch 034 | Train: 0.7980 (Easy: 0.4629, Hard: 1.1318) | Val: 0.6701 (Easy: 0.3902, Hard: 1.0326) | LR: 0.001000
=> Epoch 035 | Train: 0.7917 (Easy: 0.4607, Hard: 1.1226) | Val: 0.6688 (Easy: 0.3898, Hard: 1.0285) | LR: 0.001000
=> Epoch 036 | Train: 0.8011 (Easy: 0.4604, Hard: 1.1358) | Val: 0.6675 (Easy: 0.3902, Hard: 1.0233) | LR: 0.001000
=> Epoch 037 | Train: 0.8041 (Easy: 0.4617, Hard: 1.1411) | Val: 0.6678 (Easy: 0.3896, Hard: 1.0252) | LR: 0.001000
=> Epoch 038 | Train: 0.7972 (Easy: 0.4565, Hard: 1.1418) | Val: 0.6726 (Easy: 0.3948, Hard: 1.0296) | LR: 0.001000
=> Epoch 039 | Train: 0.8009 (Easy: 0.4640, Hard: 1.1385) | Val: 0.6752 (Easy: 0.3914, Hard: 1.0402) | LR: 0.001000
=> Epoch 040 | Train: 0.7978 (Easy: 0.4569, Hard: 1.1412) | Val: 0.6766 (Easy: 0.3913, Hard: 1.0437) | LR: 0.001000
=> Epoch 041 | Train: 0.7976 (Easy: 0.4638, Hard: 1.1298) | Val: 0.6615 (Easy: 0.3918, Hard: 1.0056) | LR: 0.001000
=> Epoch 042 | Train: 0.7823 (Easy: 0.4565, Hard: 1.1068) | Val: 0.6696 (Easy: 0.3930, Hard: 1.0245) | LR: 0.001000
=> Epoch 043 | Train: 0.7869 (Easy: 0.4529, Hard: 1.1182) | Val: 0.6695 (Easy: 0.3955, Hard: 1.0213) | LR: 0.001000
=> Epoch 044 | Train: 0.7824 (Easy: 0.4514, Hard: 1.1111) | Val: 0.6727 (Easy: 0.3907, Hard: 1.0341) | LR: 0.001000
=> Epoch 045 | Train: 0.7898 (Easy: 0.4632, Hard: 1.1198) | Val: 0.6657 (Easy: 0.3966, Hard: 1.0108) | LR: 0.001000
=> Epoch 046 | Train: 0.7679 (Easy: 0.4470, Hard: 1.0852) | Val: 0.6750 (Easy: 0.3906, Hard: 1.0410) | LR: 0.001000
=> Epoch 047 | Train: 0.7751 (Easy: 0.4554, Hard: 1.1000) | Val: 0.6639 (Easy: 0.3882, Hard: 1.0191) | LR: 0.001000
=> Epoch 048 | Train: 0.7759 (Easy: 0.4612, Hard: 1.0966) | Val: 0.6656 (Easy: 0.3932, Hard: 1.0177) | LR: 0.001000
=> Epoch 049 | Train: 0.7886 (Easy: 0.4648, Hard: 1.1096) | Val: 0.6686 (Easy: 0.3909, Hard: 1.0268) | LR: 0.001000
=> Epoch 050 | Train: 0.7822 (Easy: 0.4499, Hard: 1.1164) | Val: 0.6607 (Easy: 0.3934, Hard: 1.0063) | LR: 0.001000
=> Epoch 051 | Train: 0.7794 (Easy: 0.4559, Hard: 1.1036) | Val: 0.6715 (Easy: 0.3980, Hard: 1.0224) | LR: 0.001000
=> Epoch 052 | Train: 0.7747 (Easy: 0.4524, Hard: 1.0980) | Val: 0.6691 (Easy: 0.3912, Hard: 1.0260) | LR: 0.001000
=> Epoch 053 | Train: 0.7782 (Easy: 0.4584, Hard: 1.1019) | Val: 0.6620 (Easy: 0.3939, Hard: 1.0071) | LR: 0.001000
=> Epoch 054 | Train: 0.7842 (Easy: 0.4670, Hard: 1.0977) | Val: 0.6729 (Easy: 0.4080, Hard: 1.0147) | LR: 0.001000
=> Epoch 055 | Train: 0.7831 (Easy: 0.4631, Hard: 1.1083) | Val: 0.6558 (Easy: 0.3881, Hard: 0.9985) | LR: 0.001000
=> Epoch 056 | Train: 0.7769 (Easy: 0.4600, Hard: 1.0925) | Val: 0.6565 (Easy: 0.3963, Hard: 0.9907) | LR: 0.001000
=> Epoch 057 | Train: 0.7800 (Easy: 0.4559, Hard: 1.1100) | Val: 0.6744 (Easy: 0.3984, Hard: 1.0285) | LR: 0.001000
=> Epoch 058 | Train: 0.7652 (Easy: 0.4514, Hard: 1.0740) | Val: 0.6656 (Easy: 0.3941, Hard: 1.0114) | LR: 0.001000
=> Epoch 059 | Train: 0.7708 (Easy: 0.4438, Hard: 1.0999) | Val: 0.6656 (Easy: 0.3934, Hard: 1.0146) | LR: 0.001000
=> Epoch 060 | Train: 0.7702 (Easy: 0.4480, Hard: 1.0868) | Val: 0.6600 (Easy: 0.3933, Hard: 1.0023) | LR: 0.001000
=> Epoch 061 | Train: 0.7686 (Easy: 0.4492, Hard: 1.0836) | Val: 0.6708 (Easy: 0.4036, Hard: 1.0150) | LR: 0.001000
=> Epoch 062 | Train: 0.7628 (Easy: 0.4469, Hard: 1.0778) | Val: 0.6678 (Easy: 0.4086, Hard: 1.0028) | LR: 0.001000
=> Epoch 063 | Train: 0.7734 (Easy: 0.4579, Hard: 1.0865) | Val: 0.6559 (Easy: 0.3968, Hard: 0.9882) | LR: 0.001000
=> Epoch 064 | Train: 0.7679 (Easy: 0.4575, Hard: 1.0726) | Val: 0.6703 (Easy: 0.4053, Hard: 1.0118) | LR: 0.001000
=> Epoch 065 | Train: 0.7722 (Easy: 0.4532, Hard: 1.0922) | Val: 0.6667 (Easy: 0.4021, Hard: 1.0067) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 066 | Train: 0.7640 (Easy: 0.4538, Hard: 1.0716) | Val: 0.6662 (Easy: 0.3908, Hard: 1.0181) | LR: 0.000500
=> Epoch 067 | Train: 0.7573 (Easy: 0.4563, Hard: 1.0550) | Val: 0.6665 (Easy: 0.3936, Hard: 1.0169) | LR: 0.000500
=> Epoch 068 | Train: 0.7557 (Easy: 0.4510, Hard: 1.0626) | Val: 0.6595 (Easy: 0.3919, Hard: 1.0014) | LR: 0.000500
=> Epoch 069 | Train: 0.7580 (Easy: 0.4500, Hard: 1.0634) | Val: 0.6651 (Easy: 0.3947, Hard: 1.0120) | LR: 0.000500
=> Epoch 070 | Train: 0.7597 (Easy: 0.4517, Hard: 1.0621) | Val: 0.6671 (Easy: 0.3963, Hard: 1.0139) | LR: 0.000500
=> Early stopping triggered
=> Final Test Accuracy: 0.7131 | Easy: 0.8078 | Hard: 0.5460

=> Split: 2 | Features: ['dir_sim', 'recency', 'is_entrance']
=> Epoch 000 | Train: 1.1730 (Easy: 0.8116, Hard: 1.5218) | Val: 1.0905 (Easy: 0.5595, Hard: 1.5120) | LR: 0.001000
=> Epoch 001 | Train: 0.9999 (Easy: 0.5479, Hard: 1.4456) | Val: 1.0470 (Easy: 0.5373, Hard: 1.4593) | LR: 0.001000
=> Epoch 002 | Train: 0.9708 (Easy: 0.5431, Hard: 1.3989) | Val: 1.0169 (Easy: 0.5380, Hard: 1.4101) | LR: 0.001000
=> Epoch 003 | Train: 0.9539 (Easy: 0.5355, Hard: 1.3734) | Val: 0.9981 (Easy: 0.5370, Hard: 1.3807) | LR: 0.001000
=> Epoch 004 | Train: 0.9377 (Easy: 0.5299, Hard: 1.3441) | Val: 0.9802 (Easy: 0.5358, Hard: 1.3495) | LR: 0.001000
=> Epoch 005 | Train: 0.9279 (Easy: 0.5338, Hard: 1.3141) | Val: 0.9669 (Easy: 0.5387, Hard: 1.3243) | LR: 0.001000
=> Epoch 006 | Train: 0.9119 (Easy: 0.5204, Hard: 1.3027) | Val: 0.9546 (Easy: 0.5301, Hard: 1.3127) | LR: 0.001000
=> Epoch 007 | Train: 0.8941 (Easy: 0.5050, Hard: 1.2797) | Val: 0.9380 (Easy: 0.5186, Hard: 1.2931) | LR: 0.001000
=> Epoch 008 | Train: 0.8841 (Easy: 0.5008, Hard: 1.2724) | Val: 0.9274 (Easy: 0.5138, Hard: 1.2853) | LR: 0.001000
=> Epoch 009 | Train: 0.8667 (Easy: 0.4951, Hard: 1.2408) | Val: 0.9186 (Easy: 0.5117, Hard: 1.2722) | LR: 0.001000
=> Epoch 010 | Train: 0.8699 (Easy: 0.4931, Hard: 1.2448) | Val: 0.9122 (Easy: 0.5022, Hard: 1.2686) | LR: 0.001000
=> Epoch 011 | Train: 0.8616 (Easy: 0.4850, Hard: 1.2370) | Val: 0.9076 (Easy: 0.5013, Hard: 1.2603) | LR: 0.001000
=> Epoch 012 | Train: 0.8448 (Easy: 0.4831, Hard: 1.2034) | Val: 0.9042 (Easy: 0.4935, Hard: 1.2630) | LR: 0.001000
=> Epoch 013 | Train: 0.8462 (Easy: 0.4786, Hard: 1.2090) | Val: 0.9007 (Easy: 0.5023, Hard: 1.2488) | LR: 0.001000
=> Epoch 014 | Train: 0.8347 (Easy: 0.4720, Hard: 1.1956) | Val: 0.8959 (Easy: 0.4957, Hard: 1.2501) | LR: 0.001000
=> Epoch 015 | Train: 0.8308 (Easy: 0.4735, Hard: 1.1908) | Val: 0.8939 (Easy: 0.4929, Hard: 1.2503) | LR: 0.001000
=> Epoch 016 | Train: 0.8182 (Easy: 0.4652, Hard: 1.1729) | Val: 0.8929 (Easy: 0.4942, Hard: 1.2460) | LR: 0.001000
=> Epoch 017 | Train: 0.8169 (Easy: 0.4646, Hard: 1.1724) | Val: 0.8932 (Easy: 0.4958, Hard: 1.2504) | LR: 0.001000
=> Epoch 018 | Train: 0.8209 (Easy: 0.4608, Hard: 1.1808) | Val: 0.8940 (Easy: 0.4956, Hard: 1.2490) | LR: 0.001000
=> Epoch 019 | Train: 0.8232 (Easy: 0.4601, Hard: 1.1867) | Val: 0.8886 (Easy: 0.4887, Hard: 1.2410) | LR: 0.001000
=> Epoch 020 | Train: 0.8106 (Easy: 0.4613, Hard: 1.1639) | Val: 0.8898 (Easy: 0.4936, Hard: 1.2412) | LR: 0.001000
=> Epoch 021 | Train: 0.8096 (Easy: 0.4689, Hard: 1.1524) | Val: 0.8878 (Easy: 0.4928, Hard: 1.2366) | LR: 0.001000
=> Epoch 022 | Train: 0.8045 (Easy: 0.4574, Hard: 1.1536) | Val: 0.8835 (Easy: 0.4924, Hard: 1.2321) | LR: 0.001000
=> Epoch 023 | Train: 0.7950 (Easy: 0.4520, Hard: 1.1374) | Val: 0.8835 (Easy: 0.4919, Hard: 1.2338) | LR: 0.001000
=> Epoch 024 | Train: 0.7994 (Easy: 0.4576, Hard: 1.1415) | Val: 0.8886 (Easy: 0.4947, Hard: 1.2439) | LR: 0.001000
=> Epoch 025 | Train: 0.7929 (Easy: 0.4496, Hard: 1.1373) | Val: 0.8873 (Easy: 0.4930, Hard: 1.2461) | LR: 0.001000
=> Epoch 026 | Train: 0.7892 (Easy: 0.4541, Hard: 1.1220) | Val: 0.8793 (Easy: 0.4892, Hard: 1.2356) | LR: 0.001000
=> Epoch 027 | Train: 0.8046 (Easy: 0.4564, Hard: 1.1621) | Val: 0.8781 (Easy: 0.4874, Hard: 1.2316) | LR: 0.001000
=> Epoch 028 | Train: 0.7913 (Easy: 0.4498, Hard: 1.1284) | Val: 0.8834 (Easy: 0.4902, Hard: 1.2393) | LR: 0.001000
=> Epoch 029 | Train: 0.7810 (Easy: 0.4519, Hard: 1.1114) | Val: 0.8771 (Easy: 0.4861, Hard: 1.2358) | LR: 0.001000
=> Epoch 030 | Train: 0.8001 (Easy: 0.4528, Hard: 1.1460) | Val: 0.8755 (Easy: 0.4861, Hard: 1.2248) | LR: 0.001000
=> Epoch 031 | Train: 0.7924 (Easy: 0.4611, Hard: 1.1172) | Val: 0.8774 (Easy: 0.4899, Hard: 1.2280) | LR: 0.001000
=> Epoch 032 | Train: 0.7875 (Easy: 0.4541, Hard: 1.1215) | Val: 0.8700 (Easy: 0.4846, Hard: 1.2178) | LR: 0.001000
