=> Trial Start: ['dir_sim', 'recency', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_common']
=> Epoch 139 | Train: 0.7942 (Easy: 0.4711, Hard: 1.1071) | Val: 0.7075 (Easy: 0.4457, Hard: 0.9834) | LR: 0.000250
=> Epoch 140 | Train: 0.8001 (Easy: 0.4728, Hard: 1.1195) | Val: 0.7054 (Easy: 0.4403, Hard: 0.9859) | LR: 0.000250
=> Epoch 141 | Train: 0.7907 (Easy: 0.4721, Hard: 1.1010) | Val: 0.7044 (Easy: 0.4422, Hard: 0.9830) | LR: 0.000250
=> Epoch 142 | Train: 0.8035 (Easy: 0.4580, Hard: 1.1442) | Val: 0.7030 (Easy: 0.4400, Hard: 0.9814) | LR: 0.000250
=> Epoch 143 | Train: 0.7859 (Easy: 0.4645, Hard: 1.1027) | Val: 0.7042 (Easy: 0.4432, Hard: 0.9792) | LR: 0.000250
=> Epoch 144 | Train: 0.7793 (Easy: 0.4633, Hard: 1.0918) | Val: 0.7025 (Easy: 0.4421, Hard: 0.9773) | LR: 0.000250
=> Epoch 145 | Train: 0.7966 (Easy: 0.4718, Hard: 1.1172) | Val: 0.7038 (Easy: 0.4415, Hard: 0.9805) | LR: 0.000250
=> Epoch 146 | Train: 0.7855 (Easy: 0.4605, Hard: 1.1064) | Val: 0.7040 (Easy: 0.4443, Hard: 0.9801) | LR: 0.000250
=> Epoch 147 | Train: 0.7798 (Easy: 0.4736, Hard: 1.0814) | Val: 0.7029 (Easy: 0.4406, Hard: 0.9808) | LR: 0.000250
=> Epoch 148 | Train: 0.7923 (Easy: 0.4653, Hard: 1.1093) | Val: 0.7043 (Easy: 0.4394, Hard: 0.9818) | LR: 0.000250
=> Epoch 149 | Train: 0.7879 (Easy: 0.4709, Hard: 1.0972) | Val: 0.7030 (Easy: 0.4418, Hard: 0.9789) | LR: 0.000250
=> Epoch 150 | Train: 0.7868 (Easy: 0.4664, Hard: 1.1023) | Val: 0.7035 (Easy: 0.4433, Hard: 0.9763) | LR: 0.000250
=> Epoch 151 | Train: 0.7812 (Easy: 0.4584, Hard: 1.1009) | Val: 0.7034 (Easy: 0.4419, Hard: 0.9809) | LR: 0.000250
=> Epoch 152 | Train: 0.7994 (Easy: 0.4812, Hard: 1.1152) | Val: 0.7003 (Easy: 0.4410, Hard: 0.9744) | LR: 0.000250
=> Epoch 153 | Train: 0.7916 (Easy: 0.4686, Hard: 1.1077) | Val: 0.7001 (Easy: 0.4404, Hard: 0.9737) | LR: 0.000250
=> Epoch 154 | Train: 0.7979 (Easy: 0.4738, Hard: 1.1171) | Val: 0.6986 (Easy: 0.4372, Hard: 0.9754) | LR: 0.000250
=> Epoch 155 | Train: 0.7948 (Easy: 0.4675, Hard: 1.1133) | Val: 0.7017 (Easy: 0.4412, Hard: 0.9777) | LR: 0.000250
=> Epoch 156 | Train: 0.8044 (Easy: 0.4679, Hard: 1.1339) | Val: 0.7029 (Easy: 0.4378, Hard: 0.9861) | LR: 0.000250
=> Epoch 157 | Train: 0.7972 (Easy: 0.4652, Hard: 1.1227) | Val: 0.7011 (Easy: 0.4380, Hard: 0.9802) | LR: 0.000250
=> Epoch 158 | Train: 0.7938 (Easy: 0.4650, Hard: 1.1119) | Val: 0.7011 (Easy: 0.4409, Hard: 0.9754) | LR: 0.000250
=> Epoch 159 | Train: 0.7902 (Easy: 0.4704, Hard: 1.1037) | Val: 0.6989 (Easy: 0.4393, Hard: 0.9744) | LR: 0.000250
=> Epoch 160 | Train: 0.7859 (Easy: 0.4685, Hard: 1.1017) | Val: 0.7009 (Easy: 0.4409, Hard: 0.9773) | LR: 0.000250
=> Epoch 161 | Train: 0.7918 (Easy: 0.4707, Hard: 1.1035) | Val: 0.6996 (Easy: 0.4364, Hard: 0.9772) | LR: 0.000250
