=> Trial Start: ['dir_sim', 'recency', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_dead']
=> Epoch 151 | Train: 0.7803 (Easy: 0.4855, Hard: 1.0709) | Val: 0.7136 (Easy: 0.4604, Hard: 0.9869) | LR: 0.000125
=> Epoch 152 | Train: 0.8033 (Easy: 0.4945, Hard: 1.1029) | Val: 0.7132 (Easy: 0.4591, Hard: 0.9879) | LR: 0.000125
=> Epoch 153 | Train: 0.7773 (Easy: 0.4903, Hard: 1.0622) | Val: 0.7128 (Easy: 0.4575, Hard: 0.9884) | LR: 0.000125
=> Epoch 154 | Train: 0.7880 (Easy: 0.4802, Hard: 1.0875) | Val: 0.7120 (Easy: 0.4593, Hard: 0.9852) | LR: 0.000125
=> Epoch 155 | Train: 0.7921 (Easy: 0.4969, Hard: 1.0778) | Val: 0.7134 (Easy: 0.4603, Hard: 0.9868) | LR: 0.000125
=> Epoch 156 | Train: 0.8023 (Easy: 0.4893, Hard: 1.0988) | Val: 0.7142 (Easy: 0.4645, Hard: 0.9851) | LR: 0.000125
=> Epoch 157 | Train: 0.7855 (Easy: 0.4841, Hard: 1.0794) | Val: 0.7152 (Easy: 0.4615, Hard: 0.9895) | LR: 0.000125
=> Epoch 158 | Train: 0.7916 (Easy: 0.4990, Hard: 1.0794) | Val: 0.7137 (Easy: 0.4606, Hard: 0.9868) | LR: 0.000125
=> Epoch 159 | Train: 0.7858 (Easy: 0.4822, Hard: 1.0820) | Val: 0.7105 (Easy: 0.4594, Hard: 0.9839) | LR: 0.000125
=> Epoch 160 | Train: 0.7914 (Easy: 0.4963, Hard: 1.0785) | Val: 0.7123 (Easy: 0.4598, Hard: 0.9859) | LR: 0.000125
=> Epoch 161 | Train: 0.7793 (Easy: 0.4834, Hard: 1.0607) | Val: 0.7112 (Easy: 0.4589, Hard: 0.9831) | LR: 0.000125
=> Epoch 162 | Train: 0.7892 (Easy: 0.4866, Hard: 1.0785) | Val: 0.7089 (Easy: 0.4591, Hard: 0.9795) | LR: 0.000125
