=> Trial Start: ['dir_sim', 'recency', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'closeness']
=> Epoch 039 | Train: 0.8118 (Easy: 0.4658, Hard: 1.1651) | Val: 0.7015 (Easy: 0.4084, Hard: 1.0716) | LR: 0.001000
=> Epoch 040 | Train: 0.8114 (Easy: 0.4697, Hard: 1.1536) | Val: 0.7045 (Easy: 0.4078, Hard: 1.0785) | LR: 0.001000
=> Epoch 041 | Train: 0.8093 (Easy: 0.4662, Hard: 1.1581) | Val: 0.7013 (Easy: 0.4119, Hard: 1.0664) | LR: 0.001000
=> Epoch 042 | Train: 0.7982 (Easy: 0.4655, Hard: 1.1345) | Val: 0.7042 (Easy: 0.4057, Hard: 1.0815) | LR: 0.001000
=> Epoch 043 | Train: 0.8147 (Easy: 0.4697, Hard: 1.1635) | Val: 0.7041 (Easy: 0.4051, Hard: 1.0797) | LR: 0.001000
=> Epoch 044 | Train: 0.7973 (Easy: 0.4685, Hard: 1.1260) | Val: 0.6929 (Easy: 0.4003, Hard: 1.0627) | LR: 0.001000
=> Epoch 045 | Train: 0.7935 (Easy: 0.4602, Hard: 1.1243) | Val: 0.7046 (Easy: 0.4113, Hard: 1.0731) | LR: 0.001000
=> Epoch 046 | Train: 0.7950 (Easy: 0.4604, Hard: 1.1253) | Val: 0.7009 (Easy: 0.4036, Hard: 1.0744) | LR: 0.001000
=> Epoch 047 | Train: 0.7947 (Easy: 0.4575, Hard: 1.1304) | Val: 0.6972 (Easy: 0.4004, Hard: 1.0718) | LR: 0.001000
=> Epoch 048 | Train: 0.8038 (Easy: 0.4668, Hard: 1.1451) | Val: 0.6947 (Easy: 0.4021, Hard: 1.0653) | LR: 0.001000
=> Epoch 049 | Train: 0.7848 (Easy: 0.4695, Hard: 1.0999) | Val: 0.6930 (Easy: 0.4008, Hard: 1.0617) | LR: 0.001000
=> Epoch 050 | Train: 0.8011 (Easy: 0.4735, Hard: 1.1263) | Val: 0.6883 (Easy: 0.3955, Hard: 1.0560) | LR: 0.001000
=> Epoch 051 | Train: 0.7828 (Easy: 0.4643, Hard: 1.1005) | Val: 0.6816 (Easy: 0.3960, Hard: 1.0409) | LR: 0.001000
=> Epoch 052 | Train: 0.7869 (Easy: 0.4538, Hard: 1.1184) | Val: 0.6929 (Easy: 0.3970, Hard: 1.0659) | LR: 0.001000
=> Epoch 053 | Train: 0.7905 (Easy: 0.4582, Hard: 1.1243) | Val: 0.6862 (Easy: 0.3967, Hard: 1.0498) | LR: 0.001000
=> Epoch 054 | Train: 0.7856 (Easy: 0.4605, Hard: 1.1190) | Val: 0.6831 (Easy: 0.3952, Hard: 1.0483) | LR: 0.001000
=> Epoch 055 | Train: 0.7821 (Easy: 0.4525, Hard: 1.1118) | Val: 0.6780 (Easy: 0.3918, Hard: 1.0375) | LR: 0.001000
=> Epoch 056 | Train: 0.7708 (Easy: 0.4598, Hard: 1.0781) | Val: 0.6812 (Easy: 0.3952, Hard: 1.0429) | LR: 0.001000
=> Epoch 057 | Train: 0.7925 (Easy: 0.4628, Hard: 1.1285) | Val: 0.6830 (Easy: 0.3925, Hard: 1.0499) | LR: 0.001000
=> Epoch 058 | Train: 0.7660 (Easy: 0.4546, Hard: 1.0722) | Val: 0.6820 (Easy: 0.3978, Hard: 1.0406) | LR: 0.001000
=> Epoch 059 | Train: 0.7720 (Easy: 0.4500, Hard: 1.0906) | Val: 0.6857 (Easy: 0.3868, Hard: 1.0637) | LR: 0.001000
=> Epoch 060 | Train: 0.7720 (Easy: 0.4660, Hard: 1.0833) | Val: 0.6793 (Easy: 0.3961, Hard: 1.0412) | LR: 0.001000
=> Epoch 061 | Train: 0.7739 (Easy: 0.4597, Hard: 1.0845) | Val: 0.6839 (Easy: 0.3899, Hard: 1.0553) | LR: 0.001000
=> Epoch 062 | Train: 0.7712 (Easy: 0.4567, Hard: 1.0833) | Val: 0.6775 (Easy: 0.3932, Hard: 1.0391) | LR: 0.001000
=> Epoch 063 | Train: 0.7665 (Easy: 0.4563, Hard: 1.0795) | Val: 0.6797 (Easy: 0.4027, Hard: 1.0306) | LR: 0.001000
=> Epoch 064 | Train: 0.7755 (Easy: 0.4575, Hard: 1.0950) | Val: 0.6776 (Easy: 0.3822, Hard: 1.0512) | LR: 0.001000
=> Epoch 065 | Train: 0.7716 (Easy: 0.4508, Hard: 1.0951) | Val: 0.6755 (Easy: 0.3880, Hard: 1.0367) | LR: 0.001000
=> Epoch 066 | Train: 0.7689 (Easy: 0.4437, Hard: 1.0944) | Val: 0.6718 (Easy: 0.3914, Hard: 1.0230) | LR: 0.001000
=> Epoch 067 | Train: 0.7556 (Easy: 0.4471, Hard: 1.0613) | Val: 0.6761 (Easy: 0.3953, Hard: 1.0319) | LR: 0.001000
=> Epoch 068 | Train: 0.7631 (Easy: 0.4529, Hard: 1.0738) | Val: 0.6706 (Easy: 0.3867, Hard: 1.0291) | LR: 0.001000
=> Epoch 069 | Train: 0.7629 (Easy: 0.4518, Hard: 1.0750) | Val: 0.6770 (Easy: 0.3854, Hard: 1.0420) | LR: 0.001000
=> Epoch 070 | Train: 0.7577 (Easy: 0.4553, Hard: 1.0640) | Val: 0.6737 (Easy: 0.3927, Hard: 1.0285) | LR: 0.001000
=> Epoch 071 | Train: 0.7738 (Easy: 0.4518, Hard: 1.0927) | Val: 0.6750 (Easy: 0.3840, Hard: 1.0422) | LR: 0.001000
=> Epoch 072 | Train: 0.7586 (Easy: 0.4433, Hard: 1.0682) | Val: 0.6717 (Easy: 0.3881, Hard: 1.0296) | LR: 0.001000
=> Epoch 073 | Train: 0.7651 (Easy: 0.4582, Hard: 1.0682) | Val: 0.6613 (Easy: 0.3873, Hard: 1.0069) | LR: 0.001000
=> Epoch 074 | Train: 0.7500 (Easy: 0.4521, Hard: 1.0484) | Val: 0.6688 (Easy: 0.3799, Hard: 1.0325) | LR: 0.001000
=> Epoch 075 | Train: 0.7581 (Easy: 0.4539, Hard: 1.0572) | Val: 0.6701 (Easy: 0.3905, Hard: 1.0245) | LR: 0.001000
=> Epoch 076 | Train: 0.7591 (Easy: 0.4513, Hard: 1.0626) | Val: 0.6651 (Easy: 0.3810, Hard: 1.0230) | LR: 0.001000
=> Epoch 077 | Train: 0.7497 (Easy: 0.4364, Hard: 1.0694) | Val: 0.6624 (Easy: 0.3830, Hard: 1.0108) | LR: 0.001000
=> Epoch 078 | Train: 0.7593 (Easy: 0.4460, Hard: 1.0771) | Val: 0.6679 (Easy: 0.3793, Hard: 1.0263) | LR: 0.001000
=> Epoch 079 | Train: 0.7516 (Easy: 0.4417, Hard: 1.0743) | Val: 0.6644 (Easy: 0.3855, Hard: 1.0151) | LR: 0.001000
=> Epoch 080 | Train: 0.7551 (Easy: 0.4458, Hard: 1.0579) | Val: 0.6665 (Easy: 0.3835, Hard: 1.0189) | LR: 0.001000
=> Epoch 081 | Train: 0.7604 (Easy: 0.4567, Hard: 1.0621) | Val: 0.6631 (Easy: 0.3860, Hard: 1.0128) | LR: 0.001000
=> Epoch 082 | Train: 0.7369 (Easy: 0.4495, Hard: 1.0264) | Val: 0.6595 (Easy: 0.3847, Hard: 1.0035) | LR: 0.001000
=> Epoch 083 | Train: 0.7594 (Easy: 0.4440, Hard: 1.0706) | Val: 0.6611 (Easy: 0.3769, Hard: 1.0186) | LR: 0.001000
=> Epoch 084 | Train: 0.7486 (Easy: 0.4458, Hard: 1.0543) | Val: 0.6584 (Easy: 0.3832, Hard: 1.0023) | LR: 0.001000
=> Epoch 085 | Train: 0.7619 (Easy: 0.4480, Hard: 1.0698) | Val: 0.6615 (Easy: 0.3846, Hard: 1.0062) | LR: 0.001000
=> Epoch 086 | Train: 0.7511 (Easy: 0.4505, Hard: 1.0537) | Val: 0.6685 (Easy: 0.3747, Hard: 1.0343) | LR: 0.001000
=> Epoch 087 | Train: 0.7569 (Easy: 0.4439, Hard: 1.0668) | Val: 0.6610 (Easy: 0.3823, Hard: 1.0086) | LR: 0.001000
=> Epoch 088 | Train: 0.7490 (Easy: 0.4517, Hard: 1.0484) | Val: 0.6607 (Easy: 0.3804, Hard: 1.0098) | LR: 0.001000
=> Epoch 089 | Train: 0.7386 (Easy: 0.4438, Hard: 1.0268) | Val: 0.6587 (Easy: 0.3837, Hard: 1.0000) | LR: 0.001000
=> Epoch 090 | Train: 0.7452 (Easy: 0.4436, Hard: 1.0447) | Val: 0.6555 (Easy: 0.3778, Hard: 1.0011) | LR: 0.001000
=> Epoch 091 | Train: 0.7473 (Easy: 0.4390, Hard: 1.0637) | Val: 0.6539 (Easy: 0.3916, Hard: 0.9773) | LR: 0.001000
=> Epoch 092 | Train: 0.7534 (Easy: 0.4487, Hard: 1.0493) | Val: 0.6586 (Easy: 0.3896, Hard: 0.9947) | LR: 0.001000
=> Epoch 093 | Train: 0.7369 (Easy: 0.4475, Hard: 1.0220) | Val: 0.6562 (Easy: 0.3774, Hard: 1.0013) | LR: 0.001000
=> Epoch 094 | Train: 0.7412 (Easy: 0.4457, Hard: 1.0287) | Val: 0.6554 (Easy: 0.3757, Hard: 1.0021) | LR: 0.001000
