=> Trial Start: ['dir_sim', 'recency', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'room_area']
=> Epoch 094 | Train: 0.7433 (Easy: 0.4423, Hard: 1.0388) | Val: 0.6737 (Easy: 0.4227, Hard: 0.9522) | LR: 0.000500
=> Epoch 095 | Train: 0.7478 (Easy: 0.4495, Hard: 1.0404) | Val: 0.6675 (Easy: 0.4141, Hard: 0.9468) | LR: 0.000500
=> Epoch 096 | Train: 0.7529 (Easy: 0.4400, Hard: 1.0582) | Val: 0.6720 (Easy: 0.4219, Hard: 0.9482) | LR: 0.000500
=> Epoch 097 | Train: 0.7414 (Easy: 0.4389, Hard: 1.0361) | Val: 0.6834 (Easy: 0.4341, Hard: 0.9595) | LR: 0.000500
=> Epoch 098 | Train: 0.7370 (Easy: 0.4346, Hard: 1.0253) | Val: 0.6781 (Easy: 0.4291, Hard: 0.9534) | LR: 0.000500
=> Epoch 099 | Train: 0.7408 (Easy: 0.4341, Hard: 1.0327) | Val: 0.6736 (Easy: 0.4243, Hard: 0.9472) | LR: 0.000500
=> Epoch 100 | Train: 0.7401 (Easy: 0.4360, Hard: 1.0332) | Val: 0.6699 (Easy: 0.4223, Hard: 0.9445) | LR: 0.000500
=> Epoch 101 | Train: 0.7377 (Easy: 0.4423, Hard: 1.0209) | Val: 0.6787 (Easy: 0.4263, Hard: 0.9610) | LR: 0.000500
=> Epoch 102 | Train: 0.7384 (Easy: 0.4366, Hard: 1.0311) | Val: 0.6679 (Easy: 0.4218, Hard: 0.9417) | LR: 0.000500
=> Epoch 103 | Train: 0.7402 (Easy: 0.4403, Hard: 1.0325) | Val: 0.6737 (Easy: 0.4244, Hard: 0.9504) | LR: 0.000500
=> Epoch 104 | Train: 0.7512 (Easy: 0.4355, Hard: 1.0587) | Val: 0.6696 (Easy: 0.4229, Hard: 0.9429) | LR: 0.000500
=> Epoch 105 | Train: 0.7313 (Easy: 0.4374, Hard: 1.0238) | Val: 0.6710 (Easy: 0.4245, Hard: 0.9445) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 106 | Train: 0.7372 (Easy: 0.4295, Hard: 1.0357) | Val: 0.6690 (Easy: 0.4151, Hard: 0.9493) | LR: 0.000250
=> Epoch 107 | Train: 0.7338 (Easy: 0.4301, Hard: 1.0267) | Val: 0.6693 (Easy: 0.4140, Hard: 0.9509) | LR: 0.000250
