=> Trial Start: ['dir_sim', 'recency', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'ct']
=> Epoch 083 | Train: 0.7989 (Easy: 0.4804, Hard: 1.1039) | Val: 0.7385 (Easy: 0.4740, Hard: 1.0262) | LR: 0.001000
=> Epoch 084 | Train: 0.7919 (Easy: 0.4746, Hard: 1.0954) | Val: 0.7439 (Easy: 0.4724, Hard: 1.0341) | LR: 0.001000
=> Epoch 085 | Train: 0.7700 (Easy: 0.4732, Hard: 1.0598) | Val: 0.7391 (Easy: 0.4654, Hard: 1.0384) | LR: 0.001000
=> Epoch 086 | Train: 0.7860 (Easy: 0.4626, Hard: 1.1006) | Val: 0.7571 (Easy: 0.4911, Hard: 1.0352) | LR: 0.001000
=> Epoch 087 | Train: 0.7863 (Easy: 0.4719, Hard: 1.0875) | Val: 0.7359 (Easy: 0.4634, Hard: 1.0318) | LR: 0.001000
=> Epoch 088 | Train: 0.7747 (Easy: 0.4639, Hard: 1.0741) | Val: 0.7337 (Easy: 0.4639, Hard: 1.0286) | LR: 0.001000
=> Epoch 089 | Train: 0.7844 (Easy: 0.4761, Hard: 1.0819) | Val: 0.7254 (Easy: 0.4617, Hard: 1.0179) | LR: 0.001000
=> Epoch 090 | Train: 0.7756 (Easy: 0.4726, Hard: 1.0629) | Val: 0.7312 (Easy: 0.4595, Hard: 1.0256) | LR: 0.001000
=> Epoch 091 | Train: 0.7675 (Easy: 0.4651, Hard: 1.0640) | Val: 0.7283 (Easy: 0.4669, Hard: 1.0081) | LR: 0.001000
=> Epoch 092 | Train: 0.7926 (Easy: 0.4793, Hard: 1.0962) | Val: 0.7377 (Easy: 0.4723, Hard: 1.0235) | LR: 0.001000
=> Epoch 093 | Train: 0.7786 (Easy: 0.4714, Hard: 1.0770) | Val: 0.7331 (Easy: 0.4691, Hard: 1.0147) | LR: 0.001000
=> Epoch 094 | Train: 0.7660 (Easy: 0.4714, Hard: 1.0470) | Val: 0.7291 (Easy: 0.4633, Hard: 1.0130) | LR: 0.001000
=> Epoch 095 | Train: 0.7845 (Easy: 0.4773, Hard: 1.0827) | Val: 0.7308 (Easy: 0.4514, Hard: 1.0348) | LR: 0.001000
=> Epoch 096 | Train: 0.7621 (Easy: 0.4736, Hard: 1.0389) | Val: 0.7287 (Easy: 0.4590, Hard: 1.0153) | LR: 0.001000
=> Epoch 097 | Train: 0.7742 (Easy: 0.4743, Hard: 1.0569) | Val: 0.7429 (Easy: 0.4728, Hard: 1.0257) | LR: 0.001000
=> Epoch 098 | Train: 0.7611 (Easy: 0.4654, Hard: 1.0384) | Val: 0.7543 (Easy: 0.4871, Hard: 1.0343) | LR: 0.001000
=> Epoch 099 | Train: 0.7586 (Easy: 0.4875, Hard: 1.0148) | Val: 0.7462 (Easy: 0.4805, Hard: 1.0225) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 100 | Train: 0.7574 (Easy: 0.4715, Hard: 1.0319) | Val: 0.7230 (Easy: 0.4531, Hard: 1.0175) | LR: 0.000500
=> Epoch 101 | Train: 0.7736 (Easy: 0.4780, Hard: 1.0552) | Val: 0.7331 (Easy: 0.4603, Hard: 1.0275) | LR: 0.000500
=> Epoch 102 | Train: 0.7601 (Easy: 0.4595, Hard: 1.0467) | Val: 0.7290 (Easy: 0.4602, Hard: 1.0197) | LR: 0.000500
=> Epoch 103 | Train: 0.7656 (Easy: 0.4776, Hard: 1.0368) | Val: 0.7385 (Easy: 0.4700, Hard: 1.0278) | LR: 0.000500
=> Epoch 104 | Train: 0.7550 (Easy: 0.4686, Hard: 1.0229) | Val: 0.7281 (Easy: 0.4617, Hard: 1.0159) | LR: 0.000500
=> Epoch 105 | Train: 0.7542 (Easy: 0.4580, Hard: 1.0284) | Val: 0.7284 (Easy: 0.4582, Hard: 1.0191) | LR: 0.000500
=> Epoch 106 | Train: 0.7579 (Easy: 0.4677, Hard: 1.0304) | Val: 0.7276 (Easy: 0.4561, Hard: 1.0204) | LR: 0.000500
=> Epoch 107 | Train: 0.7537 (Easy: 0.4691, Hard: 1.0218) | Val: 0.7295 (Easy: 0.4524, Hard: 1.0273) | LR: 0.000500
=> Epoch 108 | Train: 0.7570 (Easy: 0.4583, Hard: 1.0413) | Val: 0.7404 (Easy: 0.4638, Hard: 1.0378) | LR: 0.000500
=> Epoch 109 | Train: 0.7444 (Easy: 0.4593, Hard: 1.0147) | Val: 0.7166 (Easy: 0.4484, Hard: 1.0109) | LR: 0.000500
=> Epoch 110 | Train: 0.7708 (Easy: 0.4758, Hard: 1.0441) | Val: 0.7238 (Easy: 0.4553, Hard: 1.0123) | LR: 0.000500
=> Epoch 111 | Train: 0.7527 (Easy: 0.4591, Hard: 1.0253) | Val: 0.7229 (Easy: 0.4515, Hard: 1.0185) | LR: 0.000500
=> Epoch 112 | Train: 0.7459 (Easy: 0.4677, Hard: 1.0098) | Val: 0.7218 (Easy: 0.4512, Hard: 1.0171) | LR: 0.000500
=> Epoch 113 | Train: 0.7478 (Easy: 0.4718, Hard: 1.0083) | Val: 0.7368 (Easy: 0.4579, Hard: 1.0371) | LR: 0.000500
=> Epoch 114 | Train: 0.7521 (Easy: 0.4609, Hard: 1.0250) | Val: 0.7286 (Easy: 0.4518, Hard: 1.0276) | LR: 0.000500
=> Epoch 115 | Train: 0.7432 (Easy: 0.4600, Hard: 1.0115) | Val: 0.7275 (Easy: 0.4513, Hard: 1.0236) | LR: 0.000500
=> Epoch 116 | Train: 0.7527 (Easy: 0.4681, Hard: 1.0148) | Val: 0.7344 (Easy: 0.4616, Hard: 1.0249) | LR: 0.000500
=> Epoch 117 | Train: 0.7478 (Easy: 0.4604, Hard: 1.0167) | Val: 0.7319 (Easy: 0.4561, Hard: 1.0275) | LR: 0.000500
=> Epoch 118 | Train: 0.7497 (Easy: 0.4619, Hard: 1.0206) | Val: 0.7253 (Easy: 0.4527, Hard: 1.0190) | LR: 0.000500
=> Epoch 119 | Train: 0.7396 (Easy: 0.4644, Hard: 0.9985) | Val: 0.7261 (Easy: 0.4513, Hard: 1.0209) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 120 | Train: 0.7431 (Easy: 0.4658, Hard: 0.9998) | Val: 0.7290 (Easy: 0.4540, Hard: 1.0255) | LR: 0.000250
=> Epoch 121 | Train: 0.7395 (Easy: 0.4575, Hard: 1.0063) | Val: 0.7277 (Easy: 0.4550, Hard: 1.0216) | LR: 0.000250
=> Epoch 122 | Train: 0.7450 (Easy: 0.4604, Hard: 1.0144) | Val: 0.7299 (Easy: 0.4552, Hard: 1.0260) | LR: 0.000250
=> Epoch 123 | Train: 0.7444 (Easy: 0.4689, Hard: 1.0051) | Val: 0.7293 (Easy: 0.4559, Hard: 1.0246) | LR: 0.000250
=> Epoch 124 | Train: 0.7407 (Easy: 0.4644, Hard: 0.9968) | Val: 0.7269 (Easy: 0.4490, Hard: 1.0268) | LR: 0.000250
=> Early stopping triggered
=> Final Test Accuracy: 0.6912 | Easy: 0.7885 | Hard: 0.5379

=> Split: 1 | Features: ['dir_sim', 'recency', 'ct']
=> Epoch 000 | Train: 1.4074 (Easy: 1.1112, Hard: 1.6880) | Val: 0.9792 (Easy: 0.6358, Hard: 1.4150) | LR: 0.001000
=> Epoch 001 | Train: 1.1309 (Easy: 0.6539, Hard: 1.5860) | Val: 0.9136 (Easy: 0.5543, Hard: 1.3732) | LR: 0.001000
=> Epoch 002 | Train: 1.0651 (Easy: 0.6031, Hard: 1.4974) | Val: 0.8769 (Easy: 0.5139, Hard: 1.3441) | LR: 0.001000
=> Epoch 003 | Train: 1.0365 (Easy: 0.5870, Hard: 1.4613) | Val: 0.8590 (Easy: 0.5045, Hard: 1.3185) | LR: 0.001000
=> Epoch 004 | Train: 1.0135 (Easy: 0.5658, Hard: 1.4388) | Val: 0.8400 (Easy: 0.4717, Hard: 1.3148) | LR: 0.001000
=> Epoch 005 | Train: 0.9959 (Easy: 0.5574, Hard: 1.4220) | Val: 0.8272 (Easy: 0.4823, Hard: 1.2748) | LR: 0.001000
=> Epoch 006 | Train: 0.9934 (Easy: 0.5599, Hard: 1.4151) | Val: 0.8233 (Easy: 0.4628, Hard: 1.2865) | LR: 0.001000
=> Epoch 007 | Train: 0.9800 (Easy: 0.5541, Hard: 1.3954) | Val: 0.8169 (Easy: 0.4576, Hard: 1.2772) | LR: 0.001000
=> Epoch 008 | Train: 0.9742 (Easy: 0.5516, Hard: 1.3827) | Val: 0.8112 (Easy: 0.4655, Hard: 1.2574) | LR: 0.001000
=> Epoch 009 | Train: 0.9649 (Easy: 0.5433, Hard: 1.3772) | Val: 0.8029 (Easy: 0.4718, Hard: 1.2305) | LR: 0.001000
=> Epoch 010 | Train: 0.9628 (Easy: 0.5437, Hard: 1.3766) | Val: 0.7932 (Easy: 0.4594, Hard: 1.2229) | LR: 0.001000
=> Epoch 011 | Train: 0.9617 (Easy: 0.5488, Hard: 1.3734) | Val: 0.7840 (Easy: 0.4444, Hard: 1.2202) | LR: 0.001000
=> Epoch 012 | Train: 0.9488 (Easy: 0.5257, Hard: 1.3747) | Val: 0.7870 (Easy: 0.4393, Hard: 1.2328) | LR: 0.001000
=> Epoch 013 | Train: 0.9534 (Easy: 0.5330, Hard: 1.3720) | Val: 0.7848 (Easy: 0.4414, Hard: 1.2253) | LR: 0.001000
=> Epoch 014 | Train: 0.9356 (Easy: 0.5236, Hard: 1.3443) | Val: 0.7774 (Easy: 0.4309, Hard: 1.2207) | LR: 0.001000
=> Epoch 015 | Train: 0.9329 (Easy: 0.5221, Hard: 1.3419) | Val: 0.7664 (Easy: 0.4315, Hard: 1.1939) | LR: 0.001000
=> Epoch 016 | Train: 0.9322 (Easy: 0.5204, Hard: 1.3456) | Val: 0.7714 (Easy: 0.4330, Hard: 1.2040) | LR: 0.001000
=> Epoch 017 | Train: 0.9197 (Easy: 0.5147, Hard: 1.3133) | Val: 0.7641 (Easy: 0.4302, Hard: 1.1909) | LR: 0.001000
=> Epoch 018 | Train: 0.9142 (Easy: 0.5127, Hard: 1.3120) | Val: 0.7654 (Easy: 0.4335, Hard: 1.1905) | LR: 0.001000
=> Epoch 019 | Train: 0.9119 (Easy: 0.5128, Hard: 1.3116) | Val: 0.7541 (Easy: 0.4278, Hard: 1.1707) | LR: 0.001000
=> Epoch 020 | Train: 0.9020 (Easy: 0.5061, Hard: 1.2953) | Val: 0.7538 (Easy: 0.4259, Hard: 1.1716) | LR: 0.001000
=> Epoch 021 | Train: 0.9052 (Easy: 0.5105, Hard: 1.2931) | Val: 0.7545 (Easy: 0.4252, Hard: 1.1760) | LR: 0.001000
=> Epoch 022 | Train: 0.8991 (Easy: 0.5007, Hard: 1.2937) | Val: 0.7490 (Easy: 0.4257, Hard: 1.1630) | LR: 0.001000
=> Epoch 023 | Train: 0.8940 (Easy: 0.5067, Hard: 1.2760) | Val: 0.7590 (Easy: 0.4283, Hard: 1.1825) | LR: 0.001000
=> Epoch 024 | Train: 0.8853 (Easy: 0.4960, Hard: 1.2659) | Val: 0.7463 (Easy: 0.4247, Hard: 1.1566) | LR: 0.001000
=> Epoch 025 | Train: 0.8960 (Easy: 0.4950, Hard: 1.2921) | Val: 0.7438 (Easy: 0.4225, Hard: 1.1564) | LR: 0.001000
=> Epoch 026 | Train: 0.8844 (Easy: 0.4970, Hard: 1.2600) | Val: 0.7395 (Easy: 0.4249, Hard: 1.1417) | LR: 0.001000
=> Epoch 027 | Train: 0.8938 (Easy: 0.5082, Hard: 1.2802) | Val: 0.7491 (Easy: 0.4341, Hard: 1.1537) | LR: 0.001000
=> Epoch 028 | Train: 0.8714 (Easy: 0.4938, Hard: 1.2474) | Val: 0.7364 (Easy: 0.4222, Hard: 1.1401) | LR: 0.001000
=> Epoch 029 | Train: 0.8697 (Easy: 0.4914, Hard: 1.2424) | Val: 0.7380 (Easy: 0.4259, Hard: 1.1385) | LR: 0.001000
=> Epoch 030 | Train: 0.8798 (Easy: 0.5003, Hard: 1.2562) | Val: 0.7336 (Easy: 0.4197, Hard: 1.1356) | LR: 0.001000
=> Epoch 031 | Train: 0.8658 (Easy: 0.4939, Hard: 1.2340) | Val: 0.7273 (Easy: 0.4202, Hard: 1.1192) | LR: 0.001000
=> Epoch 032 | Train: 0.8623 (Easy: 0.4920, Hard: 1.2363) | Val: 0.7282 (Easy: 0.4191, Hard: 1.1262) | LR: 0.001000
=> Epoch 033 | Train: 0.8683 (Easy: 0.4997, Hard: 1.2288) | Val: 0.7222 (Easy: 0.4171, Hard: 1.1125) | LR: 0.001000
=> Epoch 034 | Train: 0.8591 (Easy: 0.4906, Hard: 1.2161) | Val: 0.7231 (Easy: 0.4146, Hard: 1.1195) | LR: 0.001000
=> Epoch 035 | Train: 0.8648 (Easy: 0.4862, Hard: 1.2413) | Val: 0.7204 (Easy: 0.4163, Hard: 1.1079) | LR: 0.001000
=> Epoch 036 | Train: 0.8622 (Easy: 0.4975, Hard: 1.2176) | Val: 0.7184 (Easy: 0.4211, Hard: 1.1019) | LR: 0.001000
=> Epoch 037 | Train: 0.8504 (Easy: 0.4799, Hard: 1.2109) | Val: 0.7159 (Easy: 0.4141, Hard: 1.1025) | LR: 0.001000
=> Epoch 038 | Train: 0.8552 (Easy: 0.4888, Hard: 1.2212) | Val: 0.7195 (Easy: 0.4182, Hard: 1.1080) | LR: 0.001000
=> Epoch 039 | Train: 0.8552 (Easy: 0.4913, Hard: 1.2150) | Val: 0.7146 (Easy: 0.4161, Hard: 1.0990) | LR: 0.001000
=> Epoch 040 | Train: 0.8475 (Easy: 0.4860, Hard: 1.1965) | Val: 0.7103 (Easy: 0.4172, Hard: 1.0867) | LR: 0.001000
=> Epoch 041 | Train: 0.8491 (Easy: 0.4934, Hard: 1.2017) | Val: 0.7035 (Easy: 0.4198, Hard: 1.0675) | LR: 0.001000
=> Epoch 042 | Train: 0.8439 (Easy: 0.4956, Hard: 1.1865) | Val: 0.7140 (Easy: 0.4199, Hard: 1.0886) | LR: 0.001000
