=> Trial Start: ['dir_sim', 'recency', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'degree']
=> Epoch 118 | Train: 0.7671 (Easy: 0.4710, Hard: 1.0636) | Val: 0.7046 (Easy: 0.4460, Hard: 0.9712) | LR: 0.000250
=> Epoch 119 | Train: 0.7667 (Easy: 0.4716, Hard: 1.0603) | Val: 0.7030 (Easy: 0.4462, Hard: 0.9697) | LR: 0.000250
=> Epoch 120 | Train: 0.7715 (Easy: 0.4675, Hard: 1.0802) | Val: 0.7046 (Easy: 0.4454, Hard: 0.9719) | LR: 0.000250
=> Epoch 121 | Train: 0.7624 (Easy: 0.4616, Hard: 1.0564) | Val: 0.7038 (Easy: 0.4465, Hard: 0.9692) | LR: 0.000250
=> Epoch 122 | Train: 0.7698 (Easy: 0.4623, Hard: 1.0767) | Val: 0.7009 (Easy: 0.4452, Hard: 0.9669) | LR: 0.000250
=> Epoch 123 | Train: 0.7712 (Easy: 0.4631, Hard: 1.0784) | Val: 0.7042 (Easy: 0.4472, Hard: 0.9681) | LR: 0.000250
=> Epoch 124 | Train: 0.7651 (Easy: 0.4700, Hard: 1.0616) | Val: 0.7017 (Easy: 0.4440, Hard: 0.9684) | LR: 0.000250
=> Epoch 125 | Train: 0.7731 (Easy: 0.4651, Hard: 1.0749) | Val: 0.7025 (Easy: 0.4459, Hard: 0.9663) | LR: 0.000250
=> Epoch 126 | Train: 0.7644 (Easy: 0.4689, Hard: 1.0614) | Val: 0.7024 (Easy: 0.4419, Hard: 0.9714) | LR: 0.000250
=> Epoch 127 | Train: 0.7578 (Easy: 0.4631, Hard: 1.0528) | Val: 0.7007 (Easy: 0.4445, Hard: 0.9659) | LR: 0.000250
=> Epoch 128 | Train: 0.7645 (Easy: 0.4652, Hard: 1.0641) | Val: 0.6987 (Easy: 0.4436, Hard: 0.9629) | LR: 0.000250
=> Epoch 129 | Train: 0.7693 (Easy: 0.4696, Hard: 1.0695) | Val: 0.6982 (Easy: 0.4402, Hard: 0.9668) | LR: 0.000250
=> Epoch 130 | Train: 0.7579 (Easy: 0.4556, Hard: 1.0550) | Val: 0.6992 (Easy: 0.4412, Hard: 0.9665) | LR: 0.000250
=> Epoch 131 | Train: 0.7624 (Easy: 0.4598, Hard: 1.0623) | Val: 0.6995 (Easy: 0.4429, Hard: 0.9654) | LR: 0.000250
=> Epoch 132 | Train: 0.7534 (Easy: 0.4602, Hard: 1.0458) | Val: 0.6997 (Easy: 0.4417, Hard: 0.9689) | LR: 0.000250
=> Epoch 133 | Train: 0.7605 (Easy: 0.4643, Hard: 1.0528) | Val: 0.7016 (Easy: 0.4471, Hard: 0.9636) | LR: 0.000250
=> Epoch 134 | Train: 0.7565 (Easy: 0.4566, Hard: 1.0519) | Val: 0.6989 (Easy: 0.4431, Hard: 0.9647) | LR: 0.000250
=> Epoch 135 | Train: 0.7607 (Easy: 0.4659, Hard: 1.0486) | Val: 0.6984 (Easy: 0.4431, Hard: 0.9634) | LR: 0.000250
=> Epoch 136 | Train: 0.7558 (Easy: 0.4698, Hard: 1.0319) | Val: 0.6968 (Easy: 0.4436, Hard: 0.9595) | LR: 0.000250
=> Epoch 137 | Train: 0.7505 (Easy: 0.4637, Hard: 1.0343) | Val: 0.6964 (Easy: 0.4429, Hard: 0.9596) | LR: 0.000250
=> Epoch 138 | Train: 0.7602 (Easy: 0.4669, Hard: 1.0508) | Val: 0.6981 (Easy: 0.4418, Hard: 0.9647) | LR: 0.000250
=> Epoch 139 | Train: 0.7637 (Easy: 0.4697, Hard: 1.0553) | Val: 0.6979 (Easy: 0.4417, Hard: 0.9632) | LR: 0.000250
=> Epoch 140 | Train: 0.7637 (Easy: 0.4574, Hard: 1.0644) | Val: 0.6984 (Easy: 0.4424, Hard: 0.9631) | LR: 0.000250
=> Epoch 141 | Train: 0.7544 (Easy: 0.4668, Hard: 1.0405) | Val: 0.6977 (Easy: 0.4446, Hard: 0.9596) | LR: 0.000250
=> Epoch 142 | Train: 0.7485 (Easy: 0.4523, Hard: 1.0339) | Val: 0.6979 (Easy: 0.4432, Hard: 0.9631) | LR: 0.000250
=> Epoch 143 | Train: 0.7475 (Easy: 0.4583, Hard: 1.0318) | Val: 0.6970 (Easy: 0.4423, Hard: 0.9610) | LR: 0.000250
=> Epoch 144 | Train: 0.7544 (Easy: 0.4673, Hard: 1.0401) | Val: 0.6965 (Easy: 0.4431, Hard: 0.9596) | LR: 0.000250
=> Epoch 145 | Train: 0.7552 (Easy: 0.4592, Hard: 1.0477) | Val: 0.6959 (Easy: 0.4429, Hard: 0.9590) | LR: 0.000250
=> Epoch 146 | Train: 0.7635 (Easy: 0.4620, Hard: 1.0607) | Val: 0.6965 (Easy: 0.4410, Hard: 0.9625) | LR: 0.000250
=> Epoch 147 | Train: 0.7507 (Easy: 0.4671, Hard: 1.0346) | Val: 0.6942 (Easy: 0.4405, Hard: 0.9590) | LR: 0.000250
=> Epoch 148 | Train: 0.7584 (Easy: 0.4643, Hard: 1.0530) | Val: 0.6966 (Easy: 0.4441, Hard: 0.9582) | LR: 0.000250
=> Epoch 149 | Train: 0.7525 (Easy: 0.4679, Hard: 1.0420) | Val: 0.6947 (Easy: 0.4416, Hard: 0.9574) | LR: 0.000250
=> Epoch 150 | Train: 0.7542 (Easy: 0.4611, Hard: 1.0436) | Val: 0.6954 (Easy: 0.4412, Hard: 0.9603) | LR: 0.000250
=> Epoch 151 | Train: 0.7654 (Easy: 0.4647, Hard: 1.0680) | Val: 0.6956 (Easy: 0.4445, Hard: 0.9550) | LR: 0.000250
=> Epoch 152 | Train: 0.7571 (Easy: 0.4657, Hard: 1.0512) | Val: 0.6951 (Easy: 0.4410, Hard: 0.9599) | LR: 0.000250
=> Epoch 153 | Train: 0.7588 (Easy: 0.4554, Hard: 1.0583) | Val: 0.6950 (Easy: 0.4424, Hard: 0.9563) | LR: 0.000250
=> Epoch 154 | Train: 0.7602 (Easy: 0.4508, Hard: 1.0666) | Val: 0.6939 (Easy: 0.4430, Hard: 0.9541) | LR: 0.000250
=> Epoch 155 | Train: 0.7517 (Easy: 0.4599, Hard: 1.0370) | Val: 0.6944 (Easy: 0.4443, Hard: 0.9537) | LR: 0.000250
=> Epoch 156 | Train: 0.7606 (Easy: 0.4540, Hard: 1.0645) | Val: 0.6942 (Easy: 0.4404, Hard: 0.9582) | LR: 0.000250
=> Epoch 157 | Train: 0.7539 (Easy: 0.4587, Hard: 1.0403) | Val: 0.6959 (Easy: 0.4435, Hard: 0.9555) | LR: 0.000250
=> LR reduced: 0.000250 -> 0.000125
=> Epoch 158 | Train: 0.7603 (Easy: 0.4706, Hard: 1.0462) | Val: 0.6953 (Easy: 0.4402, Hard: 0.9590) | LR: 0.000125
=> Epoch 159 | Train: 0.7590 (Easy: 0.4611, Hard: 1.0525) | Val: 0.6949 (Easy: 0.4388, Hard: 0.9616) | LR: 0.000125
=> Epoch 160 | Train: 0.7486 (Easy: 0.4548, Hard: 1.0386) | Val: 0.6964 (Easy: 0.4420, Hard: 0.9608) | LR: 0.000125
=> Epoch 161 | Train: 0.7470 (Easy: 0.4590, Hard: 1.0261) | Val: 0.6947 (Easy: 0.4395, Hard: 0.9599) | LR: 0.000125
=> Epoch 162 | Train: 0.7414 (Easy: 0.4550, Hard: 1.0200) | Val: 0.6946 (Easy: 0.4409, Hard: 0.9577) | LR: 0.000125
=> Early stopping triggered
=> Final Test Accuracy: 0.7088 | Easy: 0.8221 | Hard: 0.5303

=> Split: 1 | Features: ['dir_sim', 'recency', 'degree']
=> Epoch 000 | Train: 1.3188 (Easy: 0.9790, Hard: 1.6558) | Val: 0.9231 (Easy: 0.5672, Hard: 1.3645) | LR: 0.001000
=> Epoch 001 | Train: 1.0709 (Easy: 0.6001, Hard: 1.5383) | Val: 0.8697 (Easy: 0.5245, Hard: 1.3035) | LR: 0.001000
=> Epoch 002 | Train: 1.0260 (Easy: 0.5789, Hard: 1.4662) | Val: 0.8507 (Easy: 0.5308, Hard: 1.2594) | LR: 0.001000
=> Epoch 003 | Train: 1.0230 (Easy: 0.5702, Hard: 1.4684) | Val: 0.8403 (Easy: 0.5049, Hard: 1.2679) | LR: 0.001000
=> Epoch 004 | Train: 1.0040 (Easy: 0.5679, Hard: 1.4405) | Val: 0.8315 (Easy: 0.5013, Hard: 1.2555) | LR: 0.001000
