=> Trial Start: ['dir_sim', 'recency', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_stair']
=> Epoch 087 | Train: 0.7687 (Easy: 0.4588, Hard: 1.0784) | Val: 0.7108 (Easy: 0.4398, Hard: 1.0114) | LR: 0.001000
=> Epoch 088 | Train: 0.7903 (Easy: 0.4630, Hard: 1.1151) | Val: 0.6975 (Easy: 0.4330, Hard: 0.9940) | LR: 0.001000
=> Epoch 089 | Train: 0.7870 (Easy: 0.4614, Hard: 1.1111) | Val: 0.6986 (Easy: 0.4235, Hard: 1.0025) | LR: 0.001000
=> Epoch 090 | Train: 0.7790 (Easy: 0.4588, Hard: 1.0978) | Val: 0.6994 (Easy: 0.4241, Hard: 1.0036) | LR: 0.001000
=> Epoch 091 | Train: 0.7675 (Easy: 0.4598, Hard: 1.0813) | Val: 0.7155 (Easy: 0.4392, Hard: 1.0177) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 092 | Train: 0.7790 (Easy: 0.4655, Hard: 1.1010) | Val: 0.7092 (Easy: 0.4425, Hard: 1.0071) | LR: 0.000500
=> Epoch 093 | Train: 0.7673 (Easy: 0.4568, Hard: 1.0751) | Val: 0.6937 (Easy: 0.4219, Hard: 0.9963) | LR: 0.000500
=> Epoch 094 | Train: 0.7639 (Easy: 0.4402, Hard: 1.0846) | Val: 0.7046 (Easy: 0.4278, Hard: 1.0154) | LR: 0.000500
=> Epoch 095 | Train: 0.7806 (Easy: 0.4616, Hard: 1.0999) | Val: 0.6906 (Easy: 0.4212, Hard: 0.9911) | LR: 0.000500
=> Epoch 096 | Train: 0.7723 (Easy: 0.4512, Hard: 1.0943) | Val: 0.6900 (Easy: 0.4187, Hard: 0.9941) | LR: 0.000500
=> Epoch 097 | Train: 0.7771 (Easy: 0.4531, Hard: 1.0957) | Val: 0.6951 (Easy: 0.4302, Hard: 0.9908) | LR: 0.000500
=> Epoch 098 | Train: 0.7596 (Easy: 0.4563, Hard: 1.0599) | Val: 0.6932 (Easy: 0.4241, Hard: 0.9952) | LR: 0.000500
=> Epoch 099 | Train: 0.7651 (Easy: 0.4480, Hard: 1.0819) | Val: 0.6884 (Easy: 0.4168, Hard: 0.9929) | LR: 0.000500
=> Epoch 100 | Train: 0.7552 (Easy: 0.4380, Hard: 1.0704) | Val: 0.6978 (Easy: 0.4197, Hard: 1.0089) | LR: 0.000500
=> Epoch 101 | Train: 0.7616 (Easy: 0.4486, Hard: 1.0829) | Val: 0.6882 (Easy: 0.4181, Hard: 0.9916) | LR: 0.000500
=> Epoch 102 | Train: 0.7626 (Easy: 0.4451, Hard: 1.0830) | Val: 0.6884 (Easy: 0.4159, Hard: 0.9900) | LR: 0.000500
=> Epoch 103 | Train: 0.7640 (Easy: 0.4541, Hard: 1.0667) | Val: 0.6947 (Easy: 0.4289, Hard: 0.9917) | LR: 0.000500
=> Epoch 104 | Train: 0.7612 (Easy: 0.4471, Hard: 1.0704) | Val: 0.6847 (Easy: 0.4155, Hard: 0.9857) | LR: 0.000500
=> Epoch 105 | Train: 0.7655 (Easy: 0.4457, Hard: 1.0849) | Val: 0.6857 (Easy: 0.4156, Hard: 0.9896) | LR: 0.000500
=> Epoch 106 | Train: 0.7638 (Easy: 0.4377, Hard: 1.0805) | Val: 0.6936 (Easy: 0.4219, Hard: 0.9965) | LR: 0.000500
=> Epoch 107 | Train: 0.7659 (Easy: 0.4370, Hard: 1.0972) | Val: 0.6872 (Easy: 0.4176, Hard: 0.9875) | LR: 0.000500
=> Epoch 108 | Train: 0.7624 (Easy: 0.4438, Hard: 1.0723) | Val: 0.6939 (Easy: 0.4213, Hard: 0.9940) | LR: 0.000500
=> Epoch 109 | Train: 0.7633 (Easy: 0.4517, Hard: 1.0779) | Val: 0.6852 (Easy: 0.4210, Hard: 0.9776) | LR: 0.000500
=> Epoch 110 | Train: 0.7759 (Easy: 0.4568, Hard: 1.0899) | Val: 0.6854 (Easy: 0.4209, Hard: 0.9833) | LR: 0.000500
=> Epoch 111 | Train: 0.7676 (Easy: 0.4390, Hard: 1.0916) | Val: 0.6822 (Easy: 0.4173, Hard: 0.9761) | LR: 0.000500
=> Epoch 112 | Train: 0.7633 (Easy: 0.4499, Hard: 1.0738) | Val: 0.6866 (Easy: 0.4204, Hard: 0.9813) | LR: 0.000500
=> Epoch 113 | Train: 0.7481 (Easy: 0.4476, Hard: 1.0448) | Val: 0.6822 (Easy: 0.4168, Hard: 0.9787) | LR: 0.000500
=> Epoch 114 | Train: 0.7559 (Easy: 0.4386, Hard: 1.0749) | Val: 0.6885 (Easy: 0.4178, Hard: 0.9888) | LR: 0.000500
=> Epoch 115 | Train: 0.7528 (Easy: 0.4452, Hard: 1.0608) | Val: 0.6839 (Easy: 0.4166, Hard: 0.9826) | LR: 0.000500
