=> Trial Start: ['dir_sim', 'recency', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'last_node']
=> Epoch 077 | Train: 0.8282 (Easy: 0.4985, Hard: 1.1522) | Val: 0.7257 (Easy: 0.4536, Hard: 1.0199) | LR: 0.001000
=> Epoch 078 | Train: 0.8352 (Easy: 0.4971, Hard: 1.1589) | Val: 0.7339 (Easy: 0.4625, Hard: 1.0293) | LR: 0.001000
=> Epoch 079 | Train: 0.8299 (Easy: 0.4905, Hard: 1.1564) | Val: 0.7335 (Easy: 0.4663, Hard: 1.0199) | LR: 0.001000
=> Epoch 080 | Train: 0.8077 (Easy: 0.4846, Hard: 1.1216) | Val: 0.7250 (Easy: 0.4581, Hard: 1.0129) | LR: 0.001000
=> Epoch 081 | Train: 0.8079 (Easy: 0.4843, Hard: 1.1188) | Val: 0.7403 (Easy: 0.4829, Hard: 1.0163) | LR: 0.001000
=> Epoch 082 | Train: 0.8273 (Easy: 0.4970, Hard: 1.1471) | Val: 0.7295 (Easy: 0.4611, Hard: 1.0198) | LR: 0.001000
=> Epoch 083 | Train: 0.8140 (Easy: 0.5027, Hard: 1.1153) | Val: 0.7280 (Easy: 0.4612, Hard: 1.0182) | LR: 0.001000
=> Epoch 084 | Train: 0.8170 (Easy: 0.4948, Hard: 1.1268) | Val: 0.7216 (Easy: 0.4551, Hard: 1.0111) | LR: 0.001000
=> Epoch 085 | Train: 0.8040 (Easy: 0.4822, Hard: 1.1172) | Val: 0.7199 (Easy: 0.4562, Hard: 1.0005) | LR: 0.001000
=> Epoch 086 | Train: 0.8086 (Easy: 0.4819, Hard: 1.1256) | Val: 0.7266 (Easy: 0.4625, Hard: 1.0096) | LR: 0.001000
=> Epoch 087 | Train: 0.8079 (Easy: 0.4878, Hard: 1.1175) | Val: 0.7308 (Easy: 0.4670, Hard: 1.0170) | LR: 0.001000
=> Epoch 088 | Train: 0.8102 (Easy: 0.4770, Hard: 1.1308) | Val: 0.7275 (Easy: 0.4530, Hard: 1.0268) | LR: 0.001000
=> Epoch 089 | Train: 0.8150 (Easy: 0.4873, Hard: 1.1346) | Val: 0.7242 (Easy: 0.4557, Hard: 1.0181) | LR: 0.001000
=> Epoch 090 | Train: 0.8283 (Easy: 0.5004, Hard: 1.1420) | Val: 0.7249 (Easy: 0.4612, Hard: 1.0082) | LR: 0.001000
=> Epoch 091 | Train: 0.8014 (Easy: 0.4908, Hard: 1.1040) | Val: 0.7269 (Easy: 0.4694, Hard: 1.0039) | LR: 0.001000
=> Epoch 092 | Train: 0.8130 (Easy: 0.4872, Hard: 1.1317) | Val: 0.7218 (Easy: 0.4484, Hard: 1.0194) | LR: 0.001000
=> Epoch 093 | Train: 0.8168 (Easy: 0.4943, Hard: 1.1283) | Val: 0.7158 (Easy: 0.4511, Hard: 1.0001) | LR: 0.001000
=> Epoch 094 | Train: 0.8091 (Easy: 0.4841, Hard: 1.1277) | Val: 0.7158 (Easy: 0.4594, Hard: 0.9903) | LR: 0.001000
=> Epoch 095 | Train: 0.8118 (Easy: 0.4986, Hard: 1.1181) | Val: 0.7207 (Easy: 0.4578, Hard: 1.0082) | LR: 0.001000
=> Epoch 096 | Train: 0.8010 (Easy: 0.4818, Hard: 1.1106) | Val: 0.7159 (Easy: 0.4521, Hard: 0.9992) | LR: 0.001000
=> Epoch 097 | Train: 0.7995 (Easy: 0.4757, Hard: 1.1106) | Val: 0.7204 (Easy: 0.4611, Hard: 0.9962) | LR: 0.001000
=> Epoch 098 | Train: 0.8063 (Easy: 0.4878, Hard: 1.1242) | Val: 0.7183 (Easy: 0.4614, Hard: 0.9874) | LR: 0.001000
=> Epoch 099 | Train: 0.7960 (Easy: 0.4901, Hard: 1.0943) | Val: 0.7170 (Easy: 0.4567, Hard: 0.9978) | LR: 0.001000
=> Epoch 100 | Train: 0.7856 (Easy: 0.4721, Hard: 1.0901) | Val: 0.7160 (Easy: 0.4579, Hard: 0.9924) | LR: 0.001000
=> Epoch 101 | Train: 0.8116 (Easy: 0.4861, Hard: 1.1282) | Val: 0.7302 (Easy: 0.4708, Hard: 1.0131) | LR: 0.001000
=> Epoch 102 | Train: 0.8101 (Easy: 0.4788, Hard: 1.1272) | Val: 0.7087 (Easy: 0.4437, Hard: 0.9947) | LR: 0.001000
=> Epoch 103 | Train: 0.7963 (Easy: 0.4823, Hard: 1.1034) | Val: 0.7164 (Easy: 0.4577, Hard: 0.9970) | LR: 0.001000
=> Epoch 104 | Train: 0.8172 (Easy: 0.4883, Hard: 1.1412) | Val: 0.7204 (Easy: 0.4611, Hard: 1.0039) | LR: 0.001000
=> Epoch 105 | Train: 0.8026 (Easy: 0.4859, Hard: 1.1114) | Val: 0.7135 (Easy: 0.4523, Hard: 0.9968) | LR: 0.001000
=> Epoch 106 | Train: 0.7998 (Easy: 0.4824, Hard: 1.1024) | Val: 0.7132 (Easy: 0.4529, Hard: 0.9951) | LR: 0.001000
=> Epoch 107 | Train: 0.7988 (Easy: 0.4766, Hard: 1.1151) | Val: 0.7079 (Easy: 0.4462, Hard: 0.9883) | LR: 0.001000
=> Epoch 108 | Train: 0.7966 (Easy: 0.4750, Hard: 1.1090) | Val: 0.7076 (Easy: 0.4441, Hard: 0.9973) | LR: 0.001000
=> Epoch 109 | Train: 0.7856 (Easy: 0.4787, Hard: 1.0914) | Val: 0.7150 (Easy: 0.4598, Hard: 0.9871) | LR: 0.001000
=> Epoch 110 | Train: 0.7962 (Easy: 0.4794, Hard: 1.0974) | Val: 0.7157 (Easy: 0.4606, Hard: 0.9909) | LR: 0.001000
=> Epoch 111 | Train: 0.7951 (Easy: 0.4749, Hard: 1.1050) | Val: 0.7187 (Easy: 0.4629, Hard: 0.9967) | LR: 0.001000
