=> Trial Start: ['dir_sim', 'recency', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_classroom']
=> Epoch 145 | Train: 0.7444 (Easy: 0.4353, Hard: 1.0404) | Val: 0.6664 (Easy: 0.4152, Hard: 0.9458) | LR: 0.000500
=> Early stopping triggered
=> Final Test Accuracy: 0.7147 | Easy: 0.8125 | Hard: 0.5606

=> Split: 1 | Features: ['dir_sim', 'recency', 'is_classroom']
=> Epoch 000 | Train: 1.4165 (Easy: 1.0966, Hard: 1.7344) | Val: 0.9729 (Easy: 0.6091, Hard: 1.4256) | LR: 0.001000
=> Epoch 001 | Train: 1.1244 (Easy: 0.6249, Hard: 1.6233) | Val: 0.9088 (Easy: 0.5338, Hard: 1.3764) | LR: 0.001000
=> Epoch 002 | Train: 1.0698 (Easy: 0.5722, Hard: 1.5626) | Val: 0.8731 (Easy: 0.4850, Hard: 1.3586) | LR: 0.001000
=> Epoch 003 | Train: 1.0414 (Easy: 0.5623, Hard: 1.5197) | Val: 0.8653 (Easy: 0.5023, Hard: 1.3288) | LR: 0.001000
=> Epoch 004 | Train: 1.0191 (Easy: 0.5419, Hard: 1.5005) | Val: 0.8419 (Easy: 0.4746, Hard: 1.3136) | LR: 0.001000
=> Epoch 005 | Train: 0.9986 (Easy: 0.5410, Hard: 1.4638) | Val: 0.8425 (Easy: 0.4850, Hard: 1.3085) | LR: 0.001000
=> Epoch 006 | Train: 0.9885 (Easy: 0.5262, Hard: 1.4550) | Val: 0.8239 (Easy: 0.4628, Hard: 1.2928) | LR: 0.001000
=> Epoch 007 | Train: 0.9730 (Easy: 0.5265, Hard: 1.4236) | Val: 0.8221 (Easy: 0.4543, Hard: 1.2969) | LR: 0.001000
=> Epoch 008 | Train: 0.9648 (Easy: 0.5289, Hard: 1.4059) | Val: 0.8158 (Easy: 0.4588, Hard: 1.2799) | LR: 0.001000
=> Epoch 009 | Train: 0.9486 (Easy: 0.5211, Hard: 1.3807) | Val: 0.8092 (Easy: 0.4605, Hard: 1.2635) | LR: 0.001000
=> Epoch 010 | Train: 0.9307 (Easy: 0.5197, Hard: 1.3443) | Val: 0.8020 (Easy: 0.4452, Hard: 1.2637) | LR: 0.001000
=> Epoch 011 | Train: 0.9348 (Easy: 0.5162, Hard: 1.3584) | Val: 0.7952 (Easy: 0.4430, Hard: 1.2517) | LR: 0.001000
=> Epoch 012 | Train: 0.9288 (Easy: 0.5094, Hard: 1.3530) | Val: 0.7768 (Easy: 0.4334, Hard: 1.2195) | LR: 0.001000
=> Epoch 013 | Train: 0.9299 (Easy: 0.5139, Hard: 1.3457) | Val: 0.7765 (Easy: 0.4350, Hard: 1.2179) | LR: 0.001000
=> Epoch 014 | Train: 0.9160 (Easy: 0.5154, Hard: 1.3197) | Val: 0.7665 (Easy: 0.4388, Hard: 1.1903) | LR: 0.001000
=> Epoch 015 | Train: 0.9053 (Easy: 0.5191, Hard: 1.2926) | Val: 0.7512 (Easy: 0.4348, Hard: 1.1608) | LR: 0.001000
=> Epoch 016 | Train: 0.9051 (Easy: 0.5030, Hard: 1.3081) | Val: 0.7573 (Easy: 0.4294, Hard: 1.1797) | LR: 0.001000
=> Epoch 017 | Train: 0.8900 (Easy: 0.4940, Hard: 1.2841) | Val: 0.7489 (Easy: 0.4277, Hard: 1.1634) | LR: 0.001000
=> Epoch 018 | Train: 0.8855 (Easy: 0.5011, Hard: 1.2681) | Val: 0.7516 (Easy: 0.4395, Hard: 1.1583) | LR: 0.001000
=> Epoch 019 | Train: 0.8891 (Easy: 0.5003, Hard: 1.2820) | Val: 0.7459 (Easy: 0.4197, Hard: 1.1662) | LR: 0.001000
=> Epoch 020 | Train: 0.8822 (Easy: 0.5051, Hard: 1.2543) | Val: 0.7499 (Easy: 0.4317, Hard: 1.1623) | LR: 0.001000
=> Epoch 021 | Train: 0.8649 (Easy: 0.4869, Hard: 1.2432) | Val: 0.7361 (Easy: 0.4354, Hard: 1.1270) | LR: 0.001000
